frame,cell,solution,intensity
23,f,DMSO,0.994045185
24,f,DMSO,0.989156698
25,f,DMSO,0.981622024
26,f,DMSO,0.98946678
27,f,DMSO,0.982173537
28,f,DMSO,1.001123248
29,f,DMSO,0.989633519
30,f,DMSO,0.993099341
31,f,DMSO,1.00724042
32,f,DMSO,0.980031412
33,f,DMSO,0.998514517
34,f,DMSO,1.005414967
35,f,DMSO,0.985112671
36,f,DMSO,1.008082134
37,f,DMSO,0.997400397
38,f,DMSO,0.987214923
39,f,DMSO,0.993927655
40,f,DMSO,1.002117641
41,f,DMSO,1.007324558
42,f,DMSO,0.987124194
43,f,DMSO,0.98721053
44,f,DMSO,0.984697141
45,f,DMSO,1.007835101
46,f,DMSO,0.999026927
47,f,DMSO,0.999175872
48,f,DMSO,1.010923179
49,f,DMSO,0.989081456
50,f,DMSO,0.990794871
