Date,Track ID,ID,Speed,Edge time,Edge X,Edge Y,Y,L-NAME,sec,Ymm,y_axis,mm/sec,Condition
0804_04_,110,0804_04_110,0.084635114,91.5,29.41211,291.8268746,-10.2949956,0 mM,3.05,-22.13977548,-2.213977548,0.546032994,dark
0804_04_,110,0804_04_110,0.161268832,92.5,29.4314047,291.9471216,-10.4152426,0 mM,3.083333333,-22.39837118,-2.239837118,1.040444077,dark
0804_04_,110,0804_04_110,0.147418612,93.5,29.5062762,292.0504611,-10.5185821,0 mM,3.116666667,-22.62060667,-2.262060667,0.951087819,dark
0804_04_,110,0804_04_110,0.475237428,94.5,29.78338932,292.1899255,-10.6580465,0 mM,3.15,-22.92053011,-2.292053011,3.066047923,dark
0804_04_,110,0804_04_110,0.194222857,95.5,29.94562406,292.3927028,-10.8608238,0 mM,3.183333333,-23.35661032,-2.335661032,1.25305069,dark
0804_04_,110,0804_04_110,0.223271932,96.5,29.84070993,292.3847951,-10.8529161,0 mM,3.216666667,-23.33960452,-2.333960452,1.440464077,dark
0804_04_,110,0804_04_110,0.675511284,97.5,29.6864569,292.6150984,-11.0832194,0 mM,3.25,-23.83488043,-2.383488043,4.358137316,dark
0804_04_,110,0804_04_110,0.541763082,98.5,29.3274845,292.9963888,-11.4645098,0 mM,3.283333333,-24.65485978,-2.465485978,3.49524569,dark
0804_04_,110,0804_04_110,0.318628203,99.5,29.15684266,293.1817944,-11.6499154,0 mM,3.316666667,-25.05358151,-2.505358151,2.055665826,dark
0804_04_,110,0804_04_110,0.59557342,100.5,29.46923264,293.107632,-11.575753,0 mM,3.35,-24.89409247,-2.489409247,3.842409161,dark
0804_04_,110,0804_04_110,0.86142966,101.5,29.40457242,293.2298008,-11.6979218,0 mM,3.383333333,-25.15682108,-2.515682108,5.55761071,dark
0804_04_,110,0804_04_110,0.337341492,102.5,29.2401034,293.4344775,-11.9025985,0 mM,3.416666667,-25.59698602,-2.559698602,2.176396723,dark
0804_04_,110,0804_04_110,0.514971271,103.5,29.20358437,293.5200119,-11.9881329,0 mM,3.45,-25.78093097,-2.578093097,3.322395297,dark
0804_04_,110,0804_04_110,0.246182949,104.5,29.06370097,293.8478583,-12.3159793,0 mM,3.483333333,-26.48597699,-2.648597699,1.58827709,dark
0804_04_,110,0804_04_110,0.293351887,105.5,29.16088255,293.8485219,-12.3166429,0 mM,3.516666667,-26.48740409,-2.648740409,1.892592819,dark
0804_04_,110,0804_04_110,0.32923587,106.5,29.1318697,293.8484242,-12.3165452,0 mM,3.55,-26.48719398,-2.648719398,2.124102387,dark
0804_04_,110,0804_04_110,0.450761936,107.5,28.82839089,293.8523019,-12.3204229,0 mM,3.583333333,-26.49553312,-2.649553312,2.908141523,dark
0804_04_,110,0804_04_110,0.681120918,108.5,28.39882024,293.9790817,-12.4472027,0 mM,3.616666667,-26.76817785,-2.676817785,4.394328503,dark
0804_04_,110,0804_04_110,0.578582989,109.5,28.27834157,294.4880658,-12.9561868,0 mM,3.65,-27.86276731,-2.786276731,3.732793477,dark
0804_04_,110,0804_04_110,0.186490927,110.5,28.30979485,294.7151405,-13.1832615,0 mM,3.683333333,-28.3511,-2.83511,1.203167271,dark
0804_04_,110,0804_04_110,0.293152368,111.5,28.07789529,294.678899,-13.14702,0 mM,3.716666667,-28.27316129,-2.827316129,1.8913056,dark
0804_04_,110,0804_04_110,0.247053831,112.5,27.86097265,294.7817902,-13.2499112,0 mM,3.75,-28.49443269,-2.849443269,1.593895684,dark
0804_04_,110,0804_04_110,0.446040175,113.5,27.59004093,294.9808243,-13.4489453,0 mM,3.783333333,-28.92246301,-2.892246301,2.877678548,dark
0804_04_,110,0804_04_110,0.181523121,114.5,27.37225047,295.1674378,-13.6355588,0 mM,3.816666667,-29.32378237,-2.932378237,1.17111691,dark
0804_04_,110,0804_04_110,0.353287821,115.5,27.18043771,295.283338,-13.751459,0 mM,3.85,-29.57303011,-2.957303011,2.279276265,dark
0804_04_,110,0804_04_110,0.27912383,116.5,27.02609982,295.4482065,-13.9163275,0 mM,3.883333333,-29.92758602,-2.992758602,1.800798903,dark
0804_04_,110,0804_04_110,0.65875948,117.5,26.73530045,295.6945991,-14.1627201,0 mM,3.916666667,-30.45746258,-3.045746258,4.250061161,dark
0804_04_,110,0804_04_110,0.164326351,118.5,26.42743754,295.8850095,-14.3531305,0 mM,3.95,-30.86694731,-3.086694731,1.060170006,dark
0804_04_,110,0804_04_110,0.317531107,119.5,26.27796559,295.9235464,-14.3916674,0 mM,3.983333333,-30.94982237,-3.094982237,2.048587787,dark
0804_04_,110,0804_04_110,0.147277216,120.5,26.11599163,295.9530312,-14.4211522,0 mM,4.016666667,-31.01323054,-3.101323054,0.950175587,dark
0804_04_,110,0804_04_110,0.766481212,121.5,25.73232595,296.1080878,-14.5762088,0 mM,4.05,-31.34668559,-3.134668559,4.945040077,dark
0804_04_,110,0804_04_110,0.133607863,122.5,25.37330036,296.2551151,-14.7232361,0 mM,4.083333333,-31.66287333,-3.166287333,0.861986213,dark
0804_04_,110,0804_04_110,0.173588032,123.5,25.40701685,296.4049604,-14.8730814,0 mM,4.116666667,-31.98512129,-3.198512129,1.119922787,dark
0804_04_,110,0804_04_110,0.339799684,124.5,25.3164371,296.6201475,-15.0882685,0 mM,4.15,-32.44788925,-3.244788925,2.192256026,dark
0804_04_,110,0804_04_110,0.24544235,125.5,25.15151152,296.8597247,-15.3278457,0 mM,4.183333333,-32.96310903,-3.296310903,1.583499032,dark
0804_04_,110,0804_04_110,0.185571448,126.5,25.00275977,296.9684564,-15.4365774,0 mM,4.216666667,-33.19694065,-3.319694065,1.197235148,dark
0804_04_,110,0804_04_110,0.206658234,127.5,24.8151957,297.009127,-15.477248,0 mM,4.25,-33.2844043,-3.32844043,1.333278929,dark
0804_04_,110,0804_04_110,0.246246408,128.5,24.61803142,297.1186684,-15.5867894,0 mM,4.283333333,-33.5199772,-3.35199772,1.588686503,dark
0804_04_,110,0804_04_110,0.088827201,129.5,24.47126749,297.1853083,-15.6534293,0 mM,4.316666667,-33.66328882,-3.366328882,0.573078716,dark
0804_04_,110,0804_04_110,0.187781519,130.5,24.33548886,297.2050474,-15.6731684,0 mM,4.35,-33.70573849,-3.370573849,1.211493671,dark
0804_04_,110,0804_04_110,0.20838834,131.5,24.20473163,297.3230077,-15.7911287,0 mM,4.383333333,-33.95941656,-3.395941656,1.344440903,dark
0804_04_,110,0804_04_110,0.2902644,132.5,24.18175194,297.5636876,-16.0318086,0 mM,4.416666667,-34.47700774,-3.447700774,1.872673548,dark
0804_04_,110,0804_04_110,0.242067831,133.5,24.11677704,297.7975079,-16.2656289,0 mM,4.45,-34.9798471,-3.49798471,1.561727942,dark
0804_04_,110,0804_04_110,0.083955792,134.5,24.01978259,297.9260781,-16.3941991,0 mM,4.483333333,-35.25634215,-3.525634215,0.541650271,dark
0804_04_,110,0804_04_110,0.14208036,135.5,23.98043491,298.0320011,-16.5001221,0 mM,4.516666667,-35.48413355,-3.548413355,0.916647484,dark
0804_04_,110,0804_04_110,0.095648255,136.5,23.935915,298.0559118,-16.5240328,0 mM,4.55,-35.53555441,-3.553555441,0.617085516,dark
0804_04_,110,0804_04_110,0.340520749,137.5,23.97603074,298.1718393,-16.6399603,0 mM,4.583333333,-35.78486086,-3.578486086,2.196908058,dark
0804_04_,110,0804_04_110,0.061978443,138.5,24.06636284,298.3406126,-16.8087336,0 mM,4.616666667,-36.14781419,-3.614781419,0.399860923,dark
0804_04_,110,0804_04_110,0.264813397,139.5,23.96347747,298.3447979,-16.8129189,0 mM,4.65,-36.15681484,-3.615681484,1.708473529,dark
0804_04_,110,0804_04_110,0.405283713,140.5,23.90752376,298.5269096,-16.9950306,0 mM,4.683333333,-36.5484529,-3.65484529,2.614733632,dark
0804_04_,110,0804_04_110,0.306397343,141.5,23.84836656,298.6431269,-17.1112479,0 mM,4.716666667,-36.79838258,-3.679838258,1.976757052,dark
0804_04_,110,0804_04_110,0.340261322,142.5,23.83460292,298.6904857,-17.1586067,0 mM,4.75,-36.90022946,-3.690022946,2.195234335,dark
0804_04_,110,0804_04_110,0.211877607,143.5,24.0063515,298.9027278,-17.3708488,0 mM,4.783333333,-37.35666409,-3.735666409,1.366952303,dark
0804_04_,110,0804_04_110,0.154709856,144.5,24.08551982,298.9244606,-17.3925816,0 mM,4.816666667,-37.40340129,-3.740340129,0.998128103,dark
0804_04_,110,0804_04_110,0.249852855,145.5,24.02834499,298.9431125,-17.4112335,0 mM,4.85,-37.4435129,-3.74435129,1.611953903,dark
0804_04_,110,0804_04_110,0.226257552,146.5,23.91919992,299.1442205,-17.6123415,0 mM,4.883333333,-37.87600323,-3.787600323,1.459726142,dark
0804_04_,110,0804_04_110,0.398962592,147.5,24.05774556,299.1377497,-17.6058707,0 mM,4.916666667,-37.86208753,-3.786208753,2.573952206,dark
0804_04_,110,0804_04_110,0.368354094,148.5,24.39205624,299.083817,-17.551938,0 mM,4.95,-37.74610323,-3.774610323,2.376478026,dark
0804_04_,110,0804_04_110,0.297222203,149.5,24.55159571,299.2951634,-17.7632844,0 mM,4.983333333,-38.20061161,-3.820061161,1.9175626,dark
0804_04_,110,0804_04_110,0.293660072,150.5,24.6835896,299.4636334,-17.9317544,0 mM,5.016666667,-38.56291269,-3.856291269,1.89458111,dark
0804_04_,110,0804_04_110,0.387769725,151.5,24.88807771,299.6687586,-18.1368796,0 mM,5.05,-39.00404215,-3.900404215,2.501740161,dark
0804_04_,110,0804_04_110,0.133775766,152.5,25.01235356,299.8684177,-18.3365387,0 mM,5.083333333,-39.43341656,-3.943341656,0.863069458,dark
0804_04_,110,0804_04_110,0.054253998,153.5,25.10444759,299.8868452,-18.3549662,0 mM,5.116666667,-39.47304559,-3.947304559,0.350025794,dark
