time,condition,2017-08-04_3d_L_0mM_00,2017-08-04_3d_L_0mM_03,2017-08-06_3d_L_0mM_00,2017-08-07_3d_L_0mM_00,2017-08-08_3d_L_0mM_00,2017-08-08_3d_L_0mM_03,2017-08-09_3d_L_0mM_06,2017-08-15_3d_L_0mM_00,2017-08-15_3d_L_0mM_03,2017-08-15_3d_L_0mM_06,2017-08-16_3d_L_0mM_00,2017-08-17_3d_L_0mM_00,2017-08-17_3d_L_0mM_03,2017-08-21_3d_L_0mM_03,2017-08-21_3d_L_0mM_06
720,dark2_120,0.075578835,-0.138248041,0.138263031,0.147982236,0.087641654,-0.039864876,-0.089276796,0.200425289,-0.048791617,-0.211903195,0.120597034,0.209395075,-0.016170577,-0.056688426,0.013579397
750,top395_30,0.018381051,0.173925426,0.098514052,0.275997888,0.288485381,0.196044229,0.099195178,0.205305045,0.07901115,0.139074337,0.345766757,0.253183022,0.033727317,0.097975764,-0.044778801
780,top395_60,0.009544225,-0.008446589,-0.094785353,-0.270969693,0.146162451,0.133642442,0.063492176,-0.299110733,-0.122121961,-0.28504693,0.139767212,-0.161016461,-0.086521034,-0.073519825,-0.297015184
810,top395_90,-0.099769882,-0.195438146,-0.251253608,-0.552574152,-0.040549057,-0.050361792,0.047349911,-0.514807321,-0.110274168,-0.427203068,-0.097756546,-0.570396628,-0.156463946,-0.192896735,-0.484355062
840,top395_120,-0.111530261,-0.204781363,-0.2362597,-0.514078751,-0.20836201,-0.180478203,-0.027966465,-0.394058523,-0.085857008,-0.44322703,-0.145189625,-0.550678129,-0.205127747,-0.260584388,-0.368877316
870,dark3_30,-0.24178995,-0.356943083,-0.112825961,-0.084620343,-0.508430149,-0.67074369,-0.537466861,-0.460254368,-0.265016487,-0.542600727,-0.382793456,-0.433325343,-0.373007008,-0.27125213,-0.304354941
900,dark3_60,-0.324441846,-0.461329659,-0.029201338,-0.204231921,-0.45495912,-0.635824116,-0.485148842,-0.283065839,-0.304787744,-0.519726187,-0.311699901,-0.31810803,-0.347639916,-0.238741841,-0.188429828
930,dark3_90,-0.275922752,-0.335309657,0.015806689,-0.148562916,-0.307090841,-0.331536194,-0.356591169,-0.135518819,-0.225299203,-0.200712059,-0.119091534,-0.106124033,-0.1951905,-0.189194928,-0.100342961
960,dark3_120,-0.194768138,-0.174165095,0.064395154,-0.123679629,-0.140259333,-0.173727354,-0.277420396,-0.0715922,-0.062002604,-0.101952259,-0.070812185,-0.033407433,-0.127222868,-0.106671963,0.064002416
990,dark3_150,-0.077347133,-0.161611054,0.082477754,-0.068348685,-0.057849181,-0.112203011,-0.162886913,-0.081052397,0.018606488,-0.055138767,-0.007386503,0.046738228,-0.063260034,-0.08046794,-0.047352355
1020,dark3_180,-0.018459287,-0.166672582,0.068858571,-0.105201941,0.009018714,-0.057167121,-0.181254744,-0.038041587,0.008093618,-0.035379489,0.036373363,0.050601515,-0.000348612,-0.028448974,-0.072663781
