frame,WT_cPRC,WT_cPRC,WT_cPRC,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa
21,1.001719,0.993881,0.984566,1.07361,1.137331,0.850686,1.12113,0.981822,1.039692,1.057569,1.00055,0.962534,1.100853,0.997636,1.048994,0.98672,0.957757,1.012991,0.992584,1.121168,1.022799,0.925382,1.048174,1.02233,0.987635,1.046711,1.016482,1.038706,1.027737,1.022041,0.950865,0.999489,1.047066,1.004268,0.952524,1.015663,1.018326,1.007916,1.066799,1.021764,0.99031,1.096563,1.052161,1.010479,1.012918,1.080357,0.963933,1.011868,0.92267,1.018101,0.991419,1.029372,0.992807,0.955676,1.014469
22,0.999314,1.017041,0.992804,1.076785,1.14658,0.849909,1.092977,0.965681,1.037927,1.071343,1.020637,0.966557,1.097275,0.991367,1.04475,0.978836,0.952683,1.014962,0.973774,1.125296,1.002292,0.9195,1.047608,1.042589,0.996965,1.041586,1.00922,1.046265,1.038993,1.00347,0.946773,1.009307,1.049251,1.02832,0.955375,1.005023,1.019336,0.998078,1.058406,1.013071,1.006985,1.110617,1.039016,0.993316,0.984678,1.073218,0.989706,1.009716,0.981322,1.002616,0.98143,1.012805,0.979101,0.965191,0.99558
23,1.005425,1.009145,1.004458,1.059613,1.125393,0.829175,1.082901,0.977749,1.046918,1.044728,0.999129,0.966447,1.118558,0.985979,1.049234,0.97843,0.958681,1.002765,0.956134,1.142235,1.002761,0.920862,1.04518,1.036676,0.999246,1.037496,1.006131,1.044738,1.027481,0.980422,0.949324,1.006981,1.048599,1.020731,1.014191,1.00883,1.033255,1.006323,1.09823,1.041922,0.996852,1.114076,1.039269,0.993543,1.036009,1.041736,0.940753,1.00743,1.010314,0.998692,0.978212,1.015722,0.970801,0.968796,0.967526
24,0.999066,1.019456,1.012216,1.045034,1.081287,0.845291,1.062057,0.993737,1.02291,1.053057,1.019904,0.97404,1.132887,0.990012,1.037437,0.978448,0.959763,1.005331,0.943087,1.138356,0.992299,0.91701,1.043474,1.034343,1.010531,1.041116,1.021457,1.043528,1.027189,0.979998,0.953332,1.008021,1.039859,1.022392,1.061507,1.010546,1.020175,1.001543,1.076989,1.011591,1.002017,1.1079,1.023342,1.01552,1.006009,1.043218,1.022749,1.013111,1.03242,0.993909,0.995642,1.023276,0.979952,0.98954,1.001303
25,0.994486,0.996006,1.03439,1.037834,1.060373,0.82862,1.077063,0.975789,1.04189,1.060237,1.003485,0.972676,1.121907,0.986411,1.032398,0.973605,0.966963,1.014393,0.932706,1.141877,0.979269,0.924452,1.047973,1.049124,0.998289,1.048874,1.026857,1.035523,1.022329,0.96654,0.94847,1.003784,1.037447,1.024467,1.036616,1.009953,0.999915,1.013177,1.068501,1.028914,0.974373,1.106143,1.042302,0.987879,0.997511,1.052479,1.035275,1.011128,1.023757,0.990456,0.998257,1.009975,0.970844,0.995095,1.033777
26,1.014208,0.990053,1.066744,1.043871,1.042694,0.835035,1.079009,0.968176,1.045886,1.065617,1.016372,0.980606,1.110623,0.987673,1.033106,0.969971,0.977475,1.019499,0.924892,1.153244,0.975245,0.925765,1.029035,1.04782,0.996741,1.048686,1.03702,1.045279,1.011438,0.959202,0.959913,0.997673,1.041938,1.021146,1.012173,1.013728,1.009568,0.999772,1.061905,1.04557,0.981407,1.109464,1.015674,0.982101,1.00485,1.02441,1.003887,1.018053,1.012917,0.977353,1.002011,1.008634,0.996339,0.987589,1.029776
27,1.015082,1.007566,1.091995,1.038281,1.026427,0.820361,1.061495,0.976654,1.046785,1.041257,1.046274,0.993147,1.112154,0.988419,1.035924,0.976296,0.994935,1.031551,0.921444,1.155328,0.973045,0.931661,1.032455,1.0464,0.99945,1.043091,1.042172,1.043639,1.009684,0.962831,0.946148,0.992433,1.033684,1.029916,0.993048,1.008705,1.003185,1.015023,1.073701,1.045799,0.973979,1.121404,1.027134,0.982498,0.999227,1.056137,0.988698,1.011834,1.012888,1.007142,0.992022,1.0056,0.990764,0.97447,1.023309
28,1.014575,1.02335,1.107651,1.042887,1.015902,0.828065,1.073214,0.957076,1.052945,1.044337,1.043935,1.009807,1.126906,0.980684,1.035173,0.982524,0.997472,1.020769,0.915644,1.178729,0.971914,0.940487,1.018852,1.045864,0.991098,1.050731,1.041794,1.04461,1.010927,0.962858,0.954832,0.998354,1.028343,1.024766,0.996412,1.008986,1.006327,1.011204,1.071789,1.052262,0.998869,1.114048,1.027598,1.00068,1.000944,1.043721,0.98859,1.004841,1.028778,1.031698,0.995642,1.001225,0.996382,0.985403,1.025775
29,0.998867,1.03204,1.119961,1.027593,1.010161,0.836833,1.062965,0.966267,1.03856,1.054207,1.050722,0.993017,1.112899,0.98492,1.036512,0.98289,1.002294,1.010517,0.921902,1.176523,0.972637,0.943722,1.030897,1.041183,0.999491,1.04436,1.034166,1.047348,1.018674,0.947254,0.968711,0.995592,1.022486,1.010729,0.982477,1.015444,1.000483,1.00607,1.082725,1.04163,0.987949,1.105182,0.999916,1.000963,1.024206,1.038377,0.982867,1.003833,1.020343,1.020009,0.974525,0.983199,0.984932,0.983807,1.001861
30,0.996751,1.062451,1.104223,1.020214,0.998906,0.847356,1.063916,0.957916,1.041257,1.035292,1.0338,0.995607,1.107248,0.987233,1.01874,0.984657,0.996157,1.012012,0.924422,1.177171,0.968888,0.945326,1.028617,1.03543,1.006804,1.049391,1.028437,1.043496,1.009355,0.936154,0.976114,0.996898,1.02241,1.013868,0.987923,1.009329,1.00118,1.016009,1.067545,1.04063,0.997885,1.123326,1.019424,0.992523,0.997468,1.037765,0.968541,1.011531,1.0236,1.00905,0.987151,1.012426,1.043203,0.993499,1.003815
