frame,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC
82,0.99531,0.809638,0.88275,0.766834,1.087664,0.917135,0.927688,0.892592,0.367973,0.687712,0.391512,0.455654,1.239982,0.799585,0.936479,0.469788,0.509393,0.5071,0.970219,0.527423,0.391511,0.804282,0.254758
83,1.000174,0.80404,0.884986,0.750344,1.071851,0.909809,0.93734,0.884224,0.356615,0.670891,0.400847,0.447747,1.206467,0.773381,0.948171,0.455875,0.516233,0.492125,0.956226,0.522293,0.385072,0.805892,0.259654
84,0.984943,0.788149,0.888698,0.739681,1.052026,0.90132,0.944687,0.870306,0.349483,0.667998,0.39529,0.435335,1.212311,0.773113,0.944286,0.440719,0.513926,0.477232,0.947615,0.524904,0.37294,0.794096,0.261556
85,0.976796,0.794673,0.884465,0.725486,1.022623,0.893345,0.951376,0.860811,0.340967,0.654958,0.378975,0.42616,1.214506,0.75484,0.94419,0.431819,0.513983,0.462318,0.934327,0.520192,0.365314,0.760245,0.260589
86,0.966674,0.793562,0.8868,0.71157,0.999931,0.888296,0.954813,0.865944,0.328863,0.641281,0.374045,0.412512,1.206657,0.721353,0.963911,0.417678,0.51894,0.444168,0.94164,0.520043,0.355265,0.725398,0.263988
87,0.962775,0.793297,0.897096,0.722789,1.002263,0.872831,0.962105,0.889512,0.324381,0.63125,0.370873,0.404485,1.174748,0.713802,0.978331,0.40485,0.517142,0.426367,0.928988,0.528037,0.34068,0.700612,0.265897
88,0.959129,0.805941,0.892633,0.742818,0.993541,0.872277,0.962275,0.888752,0.317089,0.618306,0.358912,0.388534,1.140758,0.705188,0.946557,0.389965,0.5076,0.417022,0.916252,0.523324,0.337293,0.680042,0.252511
89,0.956902,0.823837,0.900803,0.735989,0.987512,0.868083,0.964109,0.88137,0.319289,0.590721,0.357407,0.381235,1.112774,0.706035,0.919451,0.37641,0.48862,0.410391,0.894991,0.5214,0.329528,0.659539,0.255515
90,0.950096,0.838992,0.902904,0.761366,0.966838,0.85833,0.972783,0.882224,0.318384,0.583459,0.349446,0.363087,1.089275,0.693784,0.909498,0.365778,0.492115,0.399701,0.89222,0.518463,0.320995,0.65377,0.247078
91,0.944684,0.853582,0.895062,0.740016,0.965014,0.858051,0.980917,0.880874,0.315646,0.567033,0.349881,0.35556,1.062012,0.671882,0.902529,0.362068,0.494239,0.387791,0.883956,0.51442,0.309387,0.637068,0.245789
92,0.929141,0.861772,0.797402,0.711363,0.950025,0.854554,0.996551,0.885646,0.321802,0.536748,0.347032,0.343275,0.996114,0.617996,0.835079,0.335623,0.485516,0.371938,0.851973,0.514671,0.300039,0.615113,0.247587
93,0.921776,0.867742,0.904094,0.673647,0.957804,0.842522,1.006482,0.882475,0.325758,0.519878,0.342789,0.337786,0.919914,0.620709,0.76343,0.320476,0.477914,0.356674,0.808538,0.501706,0.290359,0.611884,0.251785
94,0.907337,0.873882,0.915609,0.53877,0.943674,0.825837,1.01192,0.905934,0.325034,0.500164,0.346577,0.330343,0.865295,0.609823,0.716058,0.305101,0.462629,0.353705,0.779997,0.497467,0.283368,0.615785,0.256764
95,0.89374,0.900129,0.923675,0.432349,0.920636,0.816189,1.013347,0.912483,0.338449,0.492757,0.345608,0.322769,0.747114,0.601253,0.679511,0.297313,0.462104,0.346169,0.754574,0.49493,0.280765,0.615528,0.264711
96,0.899461,0.92355,0.930189,0.488686,0.90343,0.805837,1.020873,0.921422,0.348638,0.482359,0.342769,0.318587,0.778566,0.590859,0.644672,0.296989,0.460101,0.344387,0.737465,0.483507,0.273519,0.596469,0.270571
97,0.890298,0.951126,0.942867,0.520012,0.915805,0.806158,1.021554,0.94257,0.36743,0.469126,0.334657,0.313462,0.762584,0.587369,0.628689,0.300787,0.443139,0.346032,0.717959,0.484278,0.26925,0.601898,0.272114
98,0.8845,1.015571,0.950733,0.531596,0.935793,0.815788,1.027285,0.949315,0.388592,0.457002,0.339566,0.31229,0.72962,0.588224,0.594424,0.304646,0.443479,0.349461,0.702808,0.480245,0.272473,0.59573,0.277933
99,0.900058,1.064527,0.966727,0.539775,0.860825,0.824992,1.030408,0.965444,0.405683,0.444618,0.343607,0.31013,0.709684,0.587265,0.58689,0.302659,0.441909,0.35064,0.690141,0.476964,0.272621,0.580705,0.274798
100,0.90857,1.101739,0.978693,0.5472,0.923793,0.850384,1.033554,0.98262,0.395149,0.44322,0.339132,0.307328,0.695525,0.587498,0.577732,0.303272,0.430947,0.344771,0.66706,0.471313,0.271745,0.571458,0.277673
101,0.907528,1.134512,0.9856,0.554632,0.97369,0.882145,1.037518,1.004019,0.395944,0.440895,0.334313,0.303463,0.678858,0.578669,0.56685,0.308015,0.431413,0.347376,0.646693,0.471861,0.266452,0.566195,0.27529
102,0.906034,1.175632,0.995232,0.55682,1.024171,0.923034,1.039808,1.028245,0.409425,0.431125,0.33499,0.303525,0.667132,0.584665,0.559204,0.300953,0.419951,0.352615,0.630636,0.469723,0.264613,0.556019,0.279259
103,0.91204,1.220736,1.013842,0.563157,1.065804,0.94278,1.044033,1.055897,0.411159,0.430671,0.339607,0.30632,0.658333,0.576733,0.549883,0.3056,0.428535,0.357483,0.612669,0.469454,0.266012,0.559613,0.276044
104,0.923247,1.270025,1.029697,0.602353,1.085231,0.961216,1.064004,1.075711,0.419685,0.433121,0.337405,0.301401,0.654162,0.580198,0.546643,0.308951,0.435236,0.355467,0.602261,0.473311,0.262163,0.55445,0.274507
105,0.935497,1.299271,1.032051,0.72779,1.113311,0.991674,1.069006,1.122316,0.431218,0.426302,0.342617,0.302827,0.640991,0.587576,0.536214,0.311673,0.431516,0.355762,0.590867,0.474082,0.261185,0.552258,0.277143
106,0.961801,1.313784,1.051314,0.770422,1.14569,1.03392,1.063911,1.140362,0.442044,0.427315,0.34883,0.301145,0.634226,0.578617,0.539808,0.31022,0.429237,0.353753,0.579261,0.483126,0.262289,0.544987,0.282405
107,0.980974,1.330663,1.065213,0.849264,1.179101,1.145077,1.068461,1.148788,0.438988,0.417853,0.343355,0.301676,0.628201,0.58882,0.526882,0.317352,0.42867,0.357963,0.574807,0.477651,0.265371,0.551138,0.2887
108,0.998122,1.353001,1.084161,0.821787,1.205519,1.152338,1.06717,1.154849,0.453385,0.422396,0.341789,0.304624,0.622937,0.586729,0.527182,0.313344,0.425896,0.358443,0.568594,0.477977,0.264441,0.545867,0.287003
109,1.024736,1.369429,1.109055,0.892519,1.230576,1.160197,1.070355,1.175012,0.460945,0.417188,0.348012,0.310062,0.619117,0.601806,0.527168,0.316792,0.420863,0.354974,0.563079,0.47398,0.262402,0.557405,0.289804
110,1.056469,1.403702,1.121488,0.874349,1.193169,1.161318,1.05748,1.197442,0.456134,0.414709,0.341112,0.306743,0.621597,0.597209,0.529718,0.312556,0.424298,0.354693,0.56414,0.468933,0.2631,0.563016,0.285011
111,1.085506,1.436674,1.114313,0.911947,1.104809,1.177599,1.057346,1.218536,0.467069,0.418692,0.346103,0.302584,0.628705,0.594548,0.528143,0.31785,0.421133,0.352155,0.562744,0.472577,0.267012,0.555687,0.290663
112,1.120428,1.436823,1.104227,0.597785,1.25624,1.190914,1.071192,1.239006,0.454027,0.419223,0.352406,0.302806,0.626605,0.598212,0.532679,0.308829,0.42458,0.35195,0.551972,0.463561,0.266882,0.547942,0.293645
113,1.156743,1.439638,1.113,0.979982,1.287969,1.206352,1.073076,1.244882,0.458784,0.418596,0.34977,0.301956,0.630282,0.586729,0.525392,0.31575,0.412678,0.348809,0.549996,0.47385,0.266228,0.536038,0.300244
114,1.156191,1.445684,1.101743,0.798227,1.319908,1.198196,1.082922,1.245362,0.46844,0.414198,0.360013,0.300947,0.636259,0.596406,0.521538,0.313414,0.419865,0.350037,0.539381,0.469556,0.267372,0.528401,0.300674
