frame,stimuli,DAF-FM,SE,SE_upper,SE_lower
8,NC,1.083808101,0.011041095,1.094849196,1.072767007
9,NC,1.079250048,0.006358468,1.085608517,1.07289158
10,NC,1.072184545,0.006199722,1.078384266,1.065984823
11,NC,1.074882542,0.004349802,1.079232343,1.07053274
12,NC,1.083300221,0.005926889,1.08922711,1.077373332
13,NC,1.064123857,0.009102364,1.073226222,1.055021493
14,NC,1.069432598,0.005111905,1.074544503,1.064320693
15,NC,1.056673251,0.00808822,1.06476147,1.048585031
16,NC,1.054536049,0.007027119,1.061563168,1.04750893
17,NC,1.053331597,0.00715624,1.060487837,1.046175357
18,NC,1.043272264,0.01031102,1.053583284,1.032961243
19,NC,1.029679553,0.008020384,1.037699937,1.021659169
20,NC,1.044442801,0.010700233,1.055143033,1.033742568
21,NC,1.034155334,0.007325495,1.041480829,1.026829839
22,NC,1.033269293,0.008165773,1.041435066,1.025103521
23,NC,1.035742284,0.011499227,1.04724151,1.024243057
24,NC,1.038820942,0.011205569,1.050026511,1.027615373
25,NC,1.036206163,0.002027405,1.038233569,1.034178758
26,NC,1.033563531,0.007144995,1.040708525,1.026418536
27,NC,1.025958235,0.009377548,1.035335783,1.016580688
28,NC,1.019559503,0.010074658,1.029634161,1.009484846
29,NC,1.019530185,0.001787014,1.021317199,1.017743171
30,NC,1.01116714,0.007953331,1.019120471,1.003213809
31,NC,1.010917419,0.002352787,1.013270206,1.008564632
32,NC,1.014402302,0.0008151,1.015217402,1.013587202
33,NC,1.012166058,0.005154057,1.017320114,1.007012001
34,NC,1.010176007,0.010840895,1.021016902,0.999335111
35,NC,1.00622636,0.0061356,1.01236196,1.00009076
36,NC,1.008039788,0.007491865,1.015531654,1.000547923
37,NC,1.021824565,0.005192959,1.027017525,1.016631606
38,NC,1.005040342,0.006967297,1.012007638,0.998073045
39,NC,1.007022773,0.002266236,1.009289009,1.004756537
40,NC,1.001335168,0.004695412,1.00603058,0.996639756
41,NC,1.009284145,0.006635082,1.015919226,1.002649063
42,NC,0.99569763,0.007342793,1.003040423,0.988354836
43,NC,1.003611692,0.006472318,1.01008401,0.997139375
44,NC,0.997407233,0.004768126,1.002175359,0.992639107
45,NC,1.003063752,0.006195295,1.009259047,0.996868457
46,NC,0.995285534,0.00221951,0.997505044,0.993066024
47,NC,0.991237532,0.002113763,0.993351295,0.989123769
48,NC,0.997848039,0.004204043,1.002052082,0.993643996
49,NC,0.99287571,0.007450444,1.000326155,0.985425266
50,NC,1.001676791,0.003508259,1.00518505,0.998168533
51,NC,0.993205118,0.006996927,1.000202046,0.986208191
