frame,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2
21,1.0240370,0.9972352,1.0183690,0.9542074,1.0248825,0.9861435,1.0331518,0.9943453,0.9976531,0.9970618,1.0215429,1.0121359,1.0327683,1.0204025,0.9980650,1.0316238,1.0228382,1.0483541,1.0260695,1.0262986,1.0585857,1.0327166,1.0831271,0.9371645,0.9496726,0.9832137,1.0134400,1.0466886,1.0160409,1.0921435,1.1426078,0.9483972,0.9136735,1.0520770,1.0841911,1.0117364,0.9537808,1.0599824,1.0592882,0.9825843,1.0721297,0.9697784,1.0221901,1.1369222,1.0240703,1.0616339,1.0624465,1.0821540,1.0965792,0.9989524,1.0055324,1.0220116,0.9758937
22,1.0227428,1.0005530,1.0237753,0.9495609,1.0154057,0.9829726,1.0223161,1.0060099,0.9996871,0.9879847,1.0288078,1.0108610,1.0247536,1.0179846,0.9951739,1.0222896,1.0132214,1.0482301,1.0263120,1.0372578,1.0628566,1.0335315,1.0731423,0.9371645,0.9633772,0.9944230,1.0297795,1.0833881,1.0147442,1.0982872,1.1614179,0.9369636,0.9166030,1.0601989,1.1042103,1.0161581,0.9563895,1.0492910,1.0605965,0.9593511,1.0460734,0.9642935,1.0053274,1.1258791,1.0401799,1.0478658,1.0722532,1.0629484,1.0865265,1.0206035,0.9984756,1.0100333,0.9735604
23,1.0259419,0.9952220,1.0246436,0.9512120,1.0141758,0.9777216,1.0133229,1.0065289,0.9997392,0.9900572,1.0178518,1.0082868,1.0190014,1.0038456,1.0008423,1.0208412,1.0146181,1.0400058,1.0201523,1.0398958,1.0704854,1.0240998,1.0590932,0.9481052,0.9679292,0.9928886,1.0315313,1.1035714,1.0338195,1.0934987,1.1513148,0.9376736,0.9112819,1.0718809,1.1114697,1.0134413,0.9557914,1.0501192,1.0686890,0.9698482,1.0386257,0.9797481,1.0103614,1.1001170,1.0358704,1.0233324,1.0281749,1.0699449,1.0918651,1.0097303,0.9953218,1.0047320,0.9760613
24,1.0294319,0.9976153,1.0223074,0.9530385,1.0134347,0.9775686,1.0113653,1.0130988,0.9998175,0.9902146,1.0259723,1.0145876,1.0221460,1.0006217,0.9865234,1.0111850,0.9985768,1.0359969,1.0121981,1.0527113,1.0666547,1.0150907,1.0465630,0.9509933,0.9715197,1.0085080,1.0420266,1.1112206,1.0401823,1.1042890,1.1773968,0.9427274,0.9211882,1.0866757,1.1096064,1.0104274,0.9505103,1.0497679,1.0657088,0.9410728,1.0253094,0.9611214,1.0053952,1.1022436,1.0043722,1.0068284,1.0344273,1.0632655,1.0863653,1.0211432,1.0054536,1.0017434,0.9654132
25,1.0219721,0.9862969,1.0195061,0.9448998,1.0156896,0.9871733,1.0163053,1.0077582,1.0000000,1.0030957,1.0135398,1.0147347,1.0191932,0.9948879,0.9923966,1.0111582,0.9925912,1.0339719,1.0197643,1.0502524,1.0689369,1.0265596,1.0532008,0.9661132,0.9806967,1.0034455,1.0358351,1.0958812,1.0323758,1.1069350,1.1658781,0.9443772,0.9130084,1.0968550,1.0966900,1.0151572,0.9587183,1.0571213,1.0596516,0.9590942,1.0318822,0.9771385,1.0011513,1.1205323,1.0356981,1.0073178,1.0163705,1.0537916,1.1000242,1.0188574,1.0114853,0.9911052,0.9668699
26,1.0197182,0.9851132,1.0206742,0.9481436,1.0026176,0.9920267,1.0221780,1.0020898,0.9958017,1.0015216,1.0162411,1.0178974,1.0211489,1.0043983,0.9956292,1.0107827,0.9992950,1.0330833,1.0107915,1.0458557,1.0663776,1.0467057,1.0502194,0.9662831,0.9795404,0.9904630,1.0299305,1.1007389,1.0216819,1.1169379,1.1705709,0.9424663,0.9251366,1.0817382,1.0903921,1.0127703,0.9581075,1.0486134,1.0691251,0.9797948,1.0392872,0.9873426,0.9915348,1.1165373,1.0412142,1.0237327,1.0162926,1.0411068,1.0799388,1.0306513,1.0062026,0.9974620,0.9633378
27,1.0174643,0.9866684,1.0292436,0.9453820,0.9981709,0.9884580,1.0246422,1.0036059,0.9938199,0.9975602,1.0126002,1.0220163,1.0212639,1.0050661,0.9848844,1.0109973,0.9969806,1.0303350,1.0187458,1.0412799,1.0573795,1.0542360,1.0583901,0.9570979,0.9792605,0.9850789,1.0229689,1.0805556,1.0160409,1.1247467,1.1588000,0.9298423,0.9199570,1.0927403,1.0765218,1.0125833,0.9603472,1.0454260,1.0586582,0.9833550,1.0457106,0.9797794,0.9882164,1.1095195,1.0344287,1.0289597,1.0361136,1.0410473,1.0687175,1.0084446,1.0219851,1.0028819,0.9707372
28,1.0193837,0.9886815,1.0361075,0.9458788,0.9929042,0.9884377,1.0233525,0.9930750,0.9949412,0.9990293,1.0039093,1.0288565,1.0276872,1.0023028,0.9873885,1.0223432,0.9994946,1.0296944,1.0164662,1.0392119,1.0557005,1.0682854,1.0629606,0.9674836,0.9922714,0.9674014,1.0164905,1.0974685,1.0390060,1.1238045,1.1691359,0.9297588,0.9146076,1.0929550,1.0961758,1.0084255,0.9643812,1.0461538,1.0577375,0.9943293,1.0601793,0.9859362,0.9888485,1.1067854,1.0253397,1.0204631,1.0135945,1.0254489,1.0561264,1.0436356,0.9901179,1.0039493,0.9733026
29,1.0204307,0.9850354,1.0339987,0.9520887,0.9769781,0.9958502,1.0300312,0.9924330,0.9866750,1.0027284,1.0068622,1.0303521,1.0287418,0.9960853,0.9788973,1.0167373,0.9927375,1.0226066,1.0101125,1.0416219,1.0556026,1.0558356,1.0557040,0.9532924,0.9757187,0.9736032,1.0081244,1.0733716,1.0496063,1.1164087,1.1519353,0.9349170,0.9145085,1.0981878,1.0931349,1.0033878,0.9557278,1.0381980,1.0604754,1.0038355,1.0498720,0.9997187,0.9957110,1.0951195,1.0234122,1.0144576,1.0271112,1.0227336,1.0506467,1.0255877,1.0094485,1.0044593,0.9771441
30,1.0244732,0.9833679,1.0217596,0.9501162,0.9766628,1.0032525,1.0320003,0.9953014,0.9848236,0.9979537,1.0060401,1.0231931,1.0224336,0.9924239,0.9740257,1.0157985,1.0020484,1.0201062,1.0110098,1.0434945,1.0518208,1.0507500,1.0548883,0.9622624,0.9933668,0.9822490,1.0401238,1.0717570,1.0401289,1.0933309,1.1466607,0.9521980,0.9349014,1.1406669,1.0904219,1.0008690,0.9630450,1.0287865,1.0463741,1.0037437,1.0358728,1.0118761,0.9979006,1.0860663,1.0275179,0.9910363,1.0216370,1.0313157,1.0729079,1.0424292,1.0161242,1.0127966,0.9899578
