non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2
0.81102,0.86415,1.17620,0.94335,1.05760,0.98269,0.90773,1.20312,1.02844,1.05025,1.06838,0.97760,0.99662,1.01394,0.91155,0.92503,0.90652,0.94189,1.10959,0.98178,1.07659,0.93814,0.99466,0.96847,1.07532,1.04484,0.98947,1.01017,0.99862,0.87614,1.00686,0.99799,1.06395,0.99977,1.03695,1.06724,1.02126,1.02913,0.99020,0.96595,1.02277,0.98792,0.97442,0.99818
0.81855,0.85999,1.18158,0.93772,1.05114,1.03479,0.79772,1.19582,1.02316,1.05713,1.07228,0.95128,1.00363,1.01215,0.90175,0.93318,0.91858,0.94678,1.14879,0.95517,1.12151,0.93539,1.01087,0.95524,1.07593,1.04803,0.97937,1.02162,1.01053,0.89187,1.01342,1.02681,1.05494,1.01317,1.02650,1.06424,1.00299,1.01728,0.99868,0.96250,1.02460,1.07046,1.02998,0.99591
0.81869,0.86342,1.18712,0.94644,1.05646,1.07242,0.74568,1.17812,1.03242,1.05466,1.07474,0.97454,1.00681,1.01218,0.94853,0.93853,0.92438,0.95013,1.16462,0.94195,1.13158,0.93188,1.00005,0.96847,1.07599,1.05430,0.98344,1.02275,0.98847,0.90045,1.00064,1.00799,1.05752,1.00609,1.02980,1.05519,1.00536,1.02467,1.00198,0.95654,1.03168,1.09298,0.97623,1.00130
0.83434,0.87549,1.17510,0.95708,1.04423,1.03576,0.77518,1.19457,1.04705,1.07593,1.08423,0.98505,0.99992,1.02461,0.95144,0.95421,0.93606,0.95893,1.18364,0.96386,1.11485,0.94164,0.99370,0.97380,1.08458,1.06068,0.99230,1.02579,1.00432,0.89854,1.00129,1.00692,1.06719,1.01297,1.02463,1.05242,1.00335,1.02161,0.98319,0.93894,1.01361,1.01373,1.00030,1.00752
0.85284,0.87931,1.17313,0.96223,1.04982,0.96471,0.89459,1.18368,1.06097,1.07430,1.11564,0.98224,0.99170,1.01930,0.93956,0.97649,0.95171,0.96519,1.16514,0.97593,1.12396,0.93977,0.99956,0.96767,1.09026,1.06416,0.99575,1.01991,0.99481,0.90055,1.00818,1.00926,1.06161,1.01447,1.02820,1.05947,0.99785,1.00535,1.01049,0.91907,1.01327,0.98972,1.01098,1.01261
0.86224,0.88942,1.17845,0.95522,1.03835,0.94729,0.88456,1.19007,1.05603,1.06098,1.11487,0.98024,0.99279,1.02028,0.94159,0.99139,0.96010,0.96544,1.17096,0.98749,1.12106,0.94546,1.01228,0.98245,1.10057,1.07573,0.99311,1.02982,0.99094,0.90775,1.00578,1.00493,1.04596,1.01257,1.03603,1.05450,0.99663,0.99788,1.01219,0.92111,1.00253,1.02548,1.01186,1.01360
0.86284,0.89893,1.15371,0.94929,1.02917,0.96596,0.90269,1.19696,1.04726,1.06290,1.09184,0.99625,0.99815,1.01118,0.95322,0.99403,0.98208,0.96024,1.15685,0.97311,1.09605,0.93286,0.99890,0.98527,1.09330,1.08553,1.00538,1.00751,0.99540,0.90261,1.01356,1.00888,1.04979,1.01895,1.03170,1.04001,1.00703,1.00743,1.00374,0.94024,1.01556,1.00211,1.00835,1.00019
0.86868,0.92240,1.17542,0.93929,1.02011,0.95631,0.90343,1.18895,1.04438,1.06031,1.08989,0.99932,0.99750,1.02703,0.98875,1.02987,0.97488,0.94467,1.16441,0.98342,1.09991,0.95673,1.01890,1.01274,1.09654,1.08951,0.99625,1.02104,1.00943,0.89849,1.00713,1.01224,1.04777,1.01093,1.02214,1.05213,1.00747,1.02978,1.04419,0.90114,1.00287,0.99103,1.01416,0.99879
0.88729,0.91032,1.16626,0.91870,1.01892,0.94640,0.90203,1.17775,1.03240,1.04392,1.08193,1.00325,1.00436,1.03210,1.00529,1.02750,0.96855,0.92662,1.15594,0.96550,1.10387,0.93698,1.00463,1.02967,1.07745,1.07822,0.99309,1.01336,1.00151,0.89764,1.01972,1.01994,1.06041,1.01318,1.02805,1.04495,1.00322,1.00437,1.03637,0.87658,0.99110,1.01105,1.01321,1.00315
0.91418,0.92231,1.16707,0.93011,1.01524,0.95974,0.92558,1.16795,1.03143,1.03518,1.08789,1.00134,1.01179,1.01548,1.01076,1.01872,0.96214,0.92648,1.14565,0.96800,1.09071,0.93673,1.01412,1.01406,1.07859,1.07320,1.00186,1.00771,1.00334,0.91425,1.02776,1.00856,1.05562,1.00258,1.02297,1.04949,1.00375,1.00764,1.01687,0.85863,1.00426,1.00082,0.98943,1.00781
0.93635,0.92815,1.15886,0.93419,1.00638,0.94665,0.94490,1.14170,1.04240,1.04314,1.07387,0.99526,1.00927,1.00844,0.99647,1.02754,0.96041,0.92577,1.12153,0.97261,1.07067,0.95521,1.00242,1.02555,1.08644,1.06848,0.99405,1.00406,0.99426,0.92872,1.02256,1.00946,1.04745,0.99946,1.01511,1.04057,1.00526,0.99506,1.01750,0.85930,1.00862,0.98423,0.99074,0.99637
0.92938,0.91495,1.17633,0.93232,1.00849,0.97807,0.94427,1.14129,1.04118,1.03718,1.06223,1.00051,1.01082,1.00248,1.00830,0.98890,0.95651,0.91297,1.12435,0.98237,1.07129,0.96003,0.99334,1.04109,1.07666,1.07651,0.99205,1.01368,0.99483,0.93100,1.01080,1.03694,1.04799,1.01359,1.01757,1.03589,0.99761,1.01038,1.02145,0.86773,1.00402,0.98155,0.99697,0.99749
