expression,solution,cell,time,intensity
GcG-NIT1,cGMP,D,6.4,1.526295268
GcG-NIT1,cGMP,D,6.6,1.542951788
GcG-NIT1,cGMP,D,6.8,1.483133243
GcG-NIT1,cGMP,D,7,1.56258915
GcG-NIT1,cGMP,D,7.2,1.561764795
GcG-NIT1,cGMP,D,7.4,1.573865912
GcG-NIT1,cGMP,D,7.6,1.582526613
GcG-NIT1,cGMP,D,7.8,1.588960798
GcG-NIT1,cGMP,D,8,1.597194454
GcG-NIT1,cGMP,D,8.2,1.606341056
GcG-NIT1,cGMP,D,8.4,1.61894654
GcG-NIT1,cGMP,D,8.6,1.617474633
GcG-NIT1,cGMP,D,8.8,1.639785349
GcG-NIT1,cGMP,D,9,1.645626338
GcG-NIT1,cGMP,D,9.2,1.658052273
GcG-NIT1,cGMP,D,9.4,1.664721359
GcG-NIT1,cGMP,D,9.6,1.675072959
GcG-NIT1,cGMP,D,9.8,1.696059687
GcG-NIT1,cGMP,D,10,1.711248514
GcG-NIT1,cGMP,E,0.2,0.997446588
GcG-NIT1,cGMP,E,0.4,1.002957721
GcG-NIT1,cGMP,E,0.6,0.994514218
GcG-NIT1,cGMP,E,0.8,1.000536599
GcG-NIT1,cGMP,E,1,1.005924284
GcG-NIT1,cGMP,E,1.2,1.006220661
GcG-NIT1,cGMP,E,1.4,0.99647471
GcG-NIT1,cGMP,E,1.6,0.998850791
GcG-NIT1,cGMP,E,1.8,0.993796156
GcG-NIT1,cGMP,E,2,1.003278271
GcG-NIT1,cGMP,E,2.2,1.018328232
GcG-NIT1,cGMP,E,2.4,1.02580936
GcG-NIT1,cGMP,E,2.6,1.031219255
GcG-NIT1,cGMP,E,2.8,1.040948885
GcG-NIT1,cGMP,E,3,1.057851178
GcG-NIT1,cGMP,E,3.2,1.059783985
GcG-NIT1,cGMP,E,3.4,1.049995885
GcG-NIT1,cGMP,E,3.6,1.029324154
GcG-NIT1,cGMP,E,3.8,1.112520984
GcG-NIT1,cGMP,E,4,1.085570267
GcG-NIT1,cGMP,E,4.2,1.077210543
GcG-NIT1,cGMP,E,4.4,1.09503327
GcG-NIT1,cGMP,E,4.6,1.089543108
GcG-NIT1,cGMP,E,4.8,1.099277387
GcG-NIT1,cGMP,E,5,1.10110441
GcG-NIT1,cGMP,E,5.2,1.100930344
GcG-NIT1,cGMP,E,5.4,1.152677594
GcG-NIT1,cGMP,E,5.6,1.10572982
GcG-NIT1,cGMP,E,5.8,1.104664762
GcG-NIT1,cGMP,E,6,1.098583291
GcG-NIT1,cGMP,E,6.2,1.103499706
GcG-NIT1,cGMP,E,6.4,1.101558635
GcG-NIT1,cGMP,E,6.6,1.104541417
GcG-NIT1,cGMP,E,6.8,1.1285765
GcG-NIT1,cGMP,E,7,1.153454125
GcG-NIT1,cGMP,E,7.2,1.111664393
GcG-NIT1,cGMP,E,7.4,1.122166732
GcG-NIT1,cGMP,E,7.6,1.116198998
GcG-NIT1,cGMP,E,7.8,1.122512281
GcG-NIT1,cGMP,E,8,1.117905054
GcG-NIT1,cGMP,E,8.2,1.127463923
GcG-NIT1,cGMP,E,8.4,1.121978409
GcG-NIT1,cGMP,E,8.6,1.127694083
GcG-NIT1,cGMP,E,8.8,1.130187413
GcG-NIT1,cGMP,E,9,1.139116648
GcG-NIT1,cGMP,E,9.2,1.138523274
GcG-NIT1,cGMP,E,9.4,1.136668668
GcG-NIT1,cGMP,E,9.6,1.13316658
GcG-NIT1,cGMP,E,9.8,1.137156156
GcG-NIT1,cGMP,E,10,1.130405693
GcG-NIT1,cGMP,F,0.2,1.003498998
GcG-NIT1,cGMP,F,0.4,0.998473014
GcG-NIT1,cGMP,F,0.6,1.005904691
GcG-NIT1,cGMP,F,0.8,1.009690691
GcG-NIT1,cGMP,F,1,0.998840437
GcG-NIT1,cGMP,F,1.2,0.99466836
GcG-NIT1,cGMP,F,1.4,0.993573673
GcG-NIT1,cGMP,F,1.6,1.001014356
GcG-NIT1,cGMP,F,1.8,1.000721452
GcG-NIT1,cGMP,F,2,0.993614328
GcG-NIT1,cGMP,F,2.2,1.008757296
GcG-NIT1,cGMP,F,2.4,1.031924591
GcG-NIT1,cGMP,F,2.6,1.050477966
GcG-NIT1,cGMP,F,2.8,1.087616267
GcG-NIT1,cGMP,F,3,1.12036066
GcG-NIT1,cGMP,F,3.2,1.138617686
GcG-NIT1,cGMP,F,3.4,1.158851164
GcG-NIT1,cGMP,F,3.6,1.198391024
GcG-NIT1,cGMP,F,3.8,1.209615887
GcG-NIT1,cGMP,F,4,1.223528913
GcG-NIT1,cGMP,F,4.2,1.225900793
GcG-NIT1,cGMP,F,4.4,1.230311879
GcG-NIT1,cGMP,F,4.6,1.24960133
GcG-NIT1,cGMP,F,4.8,1.265939441
GcG-NIT1,cGMP,F,5,1.283646097
GcG-NIT1,cGMP,F,5.2,1.282841016
GcG-NIT1,cGMP,F,5.4,1.296310478
GcG-NIT1,cGMP,F,5.6,1.312293177
GcG-NIT1,cGMP,F,5.8,1.314943146
GcG-NIT1,cGMP,F,6,1.330822091
GcG-NIT1,cGMP,F,6.2,1.352906757
GcG-NIT1,cGMP,F,6.4,1.362052004
GcG-NIT1,cGMP,F,6.6,1.37075354
GcG-NIT1,cGMP,F,6.8,1.383231822
GcG-NIT1,cGMP,F,7,1.396269433
GcG-NIT1,cGMP,F,7.2,1.413336188
GcG-NIT1,cGMP,F,7.4,1.418168198
GcG-NIT1,cGMP,F,7.6,1.431965756
GcG-NIT1,cGMP,F,7.8,1.442592456
GcG-NIT1,cGMP,F,8,1.437382196
GcG-NIT1,cGMP,F,8.2,1.456347045
GcG-NIT1,cGMP,F,8.4,1.455858199
GcG-NIT1,cGMP,F,8.6,1.462678473
GcG-NIT1,cGMP,F,8.8,1.466596479
GcG-NIT1,cGMP,F,9,1.474538216
GcG-NIT1,cGMP,F,9.2,1.481546163
GcG-NIT1,cGMP,F,9.4,1.490274523
GcG-NIT1,cGMP,F,9.6,1.50671255
GcG-NIT1,cGMP,F,9.8,1.511523445
GcG-NIT1,cGMP,F,10,1.513466083
GcG-NIT1,DMSO,A,0.2,1.006974303
