time,condition,2017-06-23_3d_nnxnn_00,2017-06-23_3d_nnxnn_02,2017-06-24_3d_nnxnn_00,2017-06-24_3d_nnxnn_01,2017-06-27_3d_nnxnn_02,2017-06-28_3d_nnxnn_00,2017-06-28_3d_nnxnn_01,2017-07-01_3d_nnxnn_06,2017-07-01_3d_nnxnn_07,2017-07-03_3d_nnxnn_00,2017-07-03_3d_nnxnn_01,2017-07-03_3d_nnxnn_02,2017-07-04_3d_nnxnn_00,2017-07-07_3d_nnxnn_00
330,sideUV_30,-0.035882741,-0.060096259,-0.046707564,0.064489096,-0.14765729,-0.006698542,-0.145413067,-0.155923921,-0.0804551,-0.007843268,0.098575422,-0.030276967,-0.166636394,-0.060064828
360,sideUV_60,-0.028893488,-0.070519983,-0.042867831,0.006245057,-0.14046525,-0.023162898,-0.127034491,-0.141226116,-0.120179364,0.006221736,0.049785752,-0.053714518,-0.134924334,-0.070382377
390,sideUV_90,-0.094014033,-0.153747892,-0.10380528,-0.098334304,-0.186471966,-0.089453766,-0.162612484,-0.179794858,-0.164775805,-0.023092327,-0.075530894,-0.138413134,-0.120683936,-0.091459677
420,sideUV_120,-0.079734087,-0.142578039,-0.123899544,-0.101026418,-0.149381495,-0.102502821,-0.15206659,-0.16973189,-0.216039241,-0.031882065,-0.035690177,-0.125486349,-0.051630546,-0.083951162
450,dark1_30,-0.054690903,-0.094424401,-0.101738446,-0.109150444,-0.09765311,-0.087075322,-0.122048081,-0.123142582,-0.199717149,-0.055568096,0.011844618,-0.132745246,-0.035360931,-0.046375107
480,dark1_60,0.00084536,-0.105558994,-0.067947882,-0.079311433,-0.08954329,-0.11304618,-0.11881826,-0.10970369,-0.13544593,-0.05495811,0.005404777,-0.047167712,-0.069146904,-0.036913863
510,top488_30,0.228919352,0.122067774,0.205501635,0.168317987,0.200173016,0.134038238,-0.000812834,-0.01491128,-0.045564416,0.13593387,0.297647969,0.026343702,0.094742025,0.069330363
540,top488_60,0.18521134,0.2133336,0.224410026,0.231191786,0.225432711,0.127182648,0.048534707,0.140601816,0.125071053,0.214067966,0.350842446,0.059387293,0.085795943,0.111188279
570,top488_90,0.13943729,0.191288893,0.189175194,0.192647589,0.179584867,0.119348292,0.051303855,0.191447238,0.192095206,0.227105283,0.309198038,0.064249328,0.097338976,0.083927032
600,top488_120,0.164123612,0.090640299,0.157414139,0.146973582,0.113872493,0.095089162,0.028576413,0.194596155,0.209287259,0.234665123,0.226016864,0.048859113,0.090174392,0.058122415
630,dark2_30,-0.062716487,-0.173147654,-0.156081142,-0.228708769,-0.24505299,-0.151580205,-0.253824451,0.077561131,-0.059929522,-0.110037068,-0.18745716,-0.154846824,-0.201107116,-0.125667116
660,dark2_60,-0.087048253,-0.24833271,-0.22236783,-0.266022301,-0.266694564,-0.172212823,-0.201183502,0.082146392,-0.121302387,-0.103618089,-0.331760735,-0.192176851,-0.068167343,-0.117452881
690,dark2_90,-0.012629764,-0.157827543,-0.182678589,-0.16773917,-0.194711857,-0.164595618,-0.147358908,0.128473518,-0.110164428,-0.059432749,-0.218549245,-0.132826813,0.073109825,-0.091612304
720,dark2_120,0.05520913,-0.151875343,-0.139390418,-0.109188962,-0.163114117,-0.127647532,-0.070818731,0.158720065,-0.081547748,-0.051015284,-0.14259179,-0.112211268,0.080698388,-0.047394635
750,top395_30,0.212640699,0.080751521,0.142002073,0.199166943,0.107306989,0.130155809,0.156590952,0.153069491,0.049831199,0.153804382,0.198579538,0.053594394,0.245952679,-0.017749513
780,top395_60,0.087848606,0.117935572,0.15916193,0.22739638,0.127655878,0.108742149,0.128413895,0.067934934,0.092211018,0.148403184,0.253474671,0.065038409,0.18035842,0.072505714
810,top395_90,-0.035661621,0.074436339,0.098726938,0.162875961,0.062349197,0.07321527,0.05593897,-0.09055841,0.062652498,0.083699134,0.196368423,0.058029816,0.135412449,0.12398711
840,top395_120,-0.140872923,0.00341997,0.052674659,0.103027063,0.017712759,0.037032708,0.010977048,-0.2013256,-0.054275869,0.040479732,0.083141591,0.021921044,0.096740508,0.079302575
870,top395_150,-0.355084478,-0.269724998,-0.255749067,-0.269766474,-0.274386478,-0.226840547,-0.313276161,-0.293151617,-0.205959797,-0.239090614,-0.353162824,-0.160217509,-0.138857836,0.030259314
900,top395_180,-0.362814548,-0.211836408,-0.237099007,-0.281462326,-0.252452181,-0.195802941,-0.234693142,-0.281606511,-0.246549275,-0.223559875,-0.229839589,-0.255822882,-0.015080922,-0.081128285
930,top395_210,-0.238113395,-0.172447349,-0.178512608,-0.213354841,-0.193875046,-0.158085864,-0.137769619,-0.231083184,-0.232171072,-0.201754887,-0.162534054,-0.136517869,0.063278199,-0.221374893
960,top395_240,-0.154626456,-0.132910513,-0.129083724,-0.141326005,-0.134649488,-0.09111431,-0.064918907,-0.194337948,-0.239959026,-0.204336051,-0.09327581,-0.079595883,0.101522211,-0.170701339
990,top395_270,-0.105825925,-0.117339356,-0.080672959,-0.058876819,-0.130025422,-0.056812139,-0.061055319,-0.092354108,-0.170131271,-0.173761735,0.005875401,-0.047648145,0.09306391,-0.134332605
1020,top395_300,-0.003514759,-0.134378122,-0.031677284,-0.092938119,-0.089111263,-0.038689654,-0.055268904,-0.077690032,-0.151142191,-0.139727476,-0.015023788,0.001145705,0.12583567,-0.13594945
