frame,stimuli,sample,intencity
55,cPRC,c1-2,1.098356766
56,cPRC,c1-2,1.094856736
57,cPRC,c1-2,1.096399122
58,cPRC,c1-2,1.086848194
59,cPRC,c1-2,1.001542386
60,cPRC,c1-2,1.056000475
61,cPRC,c1-2,1.087204129
62,cPRC,c1-2,1.057602183
63,cPRC,c1-2,1.084060034
64,cPRC,c1-2,1.062822566
65,cPRC,c1-2,1.012220443
66,cPRC,c1-2,1.095924542
67,cPRC,c1-2,1.079610844
68,cPRC,c1-2,1.135848609
69,cPRC,c1-2,1.110873821
70,cPRC,c1-2,1.040339325
71,cPRC,c1-2,1.126772261
72,cPRC,c1-2,1.193272824
73,cPRC,c1-2,1.132763837
74,cPRC,c1-2,1.244349528
75,cPRC,c1-2,1.01589844
76,cPRC,c1-2,1.026220561
77,cPRC,c1-2,1.186035475
78,cPRC,c1-2,1.08933974
79,cPRC,c1-2,1.074212493
80,cPRC,c1-2,1.112000949
81,cPRC,c1-2,1.098238121
82,cPRC,c1-2,1.116331494
83,cPRC,c1-2,1.042356291
84,cPRC,c1-2,1.115204366
85,cPRC,c1-2,1.073559945
86,cPRC,c1-2,1.178382868
87,cPRC,c1-2,1.158509818
88,cPRC,c1-2,1.101322893
89,cPRC,c1-2,1.10102628
90,cPRC,c1-2,1.127365486
91,cPRC,c1-2,1.071602302
92,cPRC,c1-2,1.151865694
93,cPRC,c1-2,1.081805778
94,cPRC,c1-2,1.19107789
95,cPRC,c1-2,1.117043365
96,cPRC,c1-2,1.099721184
97,cPRC,c1-2,1.106958534
98,cPRC,c1-2,1.177374385
99,cPRC,c1-2,1.107255146
100,cPRC,c1-2,1.196001661
101,cPRC,c1-2,1.117280655
102,cPRC,c1-2,1.054754701
103,cPRC,c1-2,1.047458029
104,cPRC,c1-2,1.110161951
105,cPRC,c1-2,1.144094441
106,cPRC,c1-2,1.156492852
107,cPRC,c1-2,1.088924482
108,cPRC,c1-2,1.030610429
109,cPRC,c1-2,1.078958296
110,cPRC,c1-2,1.131162128
111,cPRC,c1-2,1.040398647
112,cPRC,c1-2,1.053924186
113,cPRC,c1-2,1.026042594
114,cPRC,c1-2,0.954677582
115,cPRC,c1-2,1.033339266
116,cPRC,c1-2,1.105594115
117,cPRC,c1-2,1.034466394
118,cPRC,c1-2,1.043661387
119,cPRC,c1-2,0.958948805
120,cPRC,c1-2,1.07249214
121,cPRC,c1-2,1.115856914
122,cPRC,c1-2,1.127899389
123,cPRC,c1-2,1.11389927
124,cPRC,c1-2,1.001067806
125,cPRC,c1-2,1.084771905
126,cPRC,c1-2,1.074212493
127,cPRC,c1-2,1.042356291
128,cPRC,c1-2,1.047220739
129,cPRC,c1-2,1.046864804
130,cPRC,c1-2,1.036364715
131,cPRC,c1-2,1.168416681
