time,condition,displacement,L-NAME,batch
270,sideUV_30,-0.168639695,0 mM,2017-08-21_3d_L_0mM_03
300,sideUV_60,-0.122012364,0 mM,2017-08-21_3d_L_0mM_03
330,sideUV_90,-0.161776,0 mM,2017-08-21_3d_L_0mM_03
360,sideUV_120,-0.103406538,0 mM,2017-08-21_3d_L_0mM_03
390,dark1_30,-0.134889947,0 mM,2017-08-21_3d_L_0mM_03
420,dark1_60,-0.033549293,0 mM,2017-08-21_3d_L_0mM_03
450,dark1_90,-0.015462058,0 mM,2017-08-21_3d_L_0mM_03
480,dark1_120,-0.046757466,0 mM,2017-08-21_3d_L_0mM_03
510,top488_30,0.209561153,0 mM,2017-08-21_3d_L_0mM_03
540,top488_60,0.207354807,0 mM,2017-08-21_3d_L_0mM_03
570,top488_90,0.231287428,0 mM,2017-08-21_3d_L_0mM_03
600,top488_120,0.239008056,0 mM,2017-08-21_3d_L_0mM_03
630,dark2_30,0.016227005,0 mM,2017-08-21_3d_L_0mM_03
660,dark2_60,-0.05734148,0 mM,2017-08-21_3d_L_0mM_03
690,dark2_90,-0.053566232,0 mM,2017-08-21_3d_L_0mM_03
720,dark2_120,-0.056688426,0 mM,2017-08-21_3d_L_0mM_03
750,top395_30,0.097975764,0 mM,2017-08-21_3d_L_0mM_03
780,top395_60,-0.073519825,0 mM,2017-08-21_3d_L_0mM_03
810,top395_90,-0.192896735,0 mM,2017-08-21_3d_L_0mM_03
840,top395_120,-0.260584388,0 mM,2017-08-21_3d_L_0mM_03
180,dark_180,0.177170141,0 mM,2017-08-21_3d_L_0mM_06
210,dark_210,0.095605536,0 mM,2017-08-21_3d_L_0mM_06
240,dark_240,0.105394225,0 mM,2017-08-21_3d_L_0mM_06
270,sideUV_30,-0.253023441,0 mM,2017-08-21_3d_L_0mM_06
300,sideUV_60,-0.259333816,0 mM,2017-08-21_3d_L_0mM_06
330,sideUV_90,-0.298532059,0 mM,2017-08-21_3d_L_0mM_06
360,sideUV_120,-0.269951826,0 mM,2017-08-21_3d_L_0mM_06
390,dark1_30,-0.185079228,0 mM,2017-08-21_3d_L_0mM_06
420,dark1_60,0.014216818,0 mM,2017-08-21_3d_L_0mM_06
450,dark1_90,0.08074189,0 mM,2017-08-21_3d_L_0mM_06
480,dark1_120,0.064512423,0 mM,2017-08-21_3d_L_0mM_06
510,top488_30,0.188404083,0 mM,2017-08-21_3d_L_0mM_06
540,top488_60,0.321029797,0 mM,2017-08-21_3d_L_0mM_06
570,top488_90,0.337262117,0 mM,2017-08-21_3d_L_0mM_06
600,top488_120,0.3763626,0 mM,2017-08-21_3d_L_0mM_06
630,dark2_30,0.111171169,0 mM,2017-08-21_3d_L_0mM_06
660,dark2_60,-0.005895403,0 mM,2017-08-21_3d_L_0mM_06
690,dark2_90,0.095164189,0 mM,2017-08-21_3d_L_0mM_06
720,dark2_120,0.013579397,0 mM,2017-08-21_3d_L_0mM_06
750,top395_30,-0.044778801,0 mM,2017-08-21_3d_L_0mM_06
780,top395_60,-0.297015184,0 mM,2017-08-21_3d_L_0mM_06
810,top395_90,-0.484355062,0 mM,2017-08-21_3d_L_0mM_06
840,top395_120,-0.368877316,0 mM,2017-08-21_3d_L_0mM_06
180,dark_180,0.046657323,0.1 mM,2017-08-04_3d_L_0.1mM_01
210,dark_210,0.014986397,0.1 mM,2017-08-04_3d_L_0.1mM_01
240,dark_240,0.029475955,0.1 mM,2017-08-04_3d_L_0.1mM_01
270,sideUV_30,-0.048337555,0.1 mM,2017-08-04_3d_L_0.1mM_01
300,sideUV_60,-0.053670297,0.1 mM,2017-08-04_3d_L_0.1mM_01
330,sideUV_90,-0.087795124,0.1 mM,2017-08-04_3d_L_0.1mM_01
360,sideUV_120,-0.091872874,0.1 mM,2017-08-04_3d_L_0.1mM_01
390,dark1_30,-0.154669387,0.1 mM,2017-08-04_3d_L_0.1mM_01
420,dark1_60,-0.11235503,0.1 mM,2017-08-04_3d_L_0.1mM_01
450,dark1_90,-0.068774767,0.1 mM,2017-08-04_3d_L_0.1mM_01
480,dark1_120,-0.060138836,0.1 mM,2017-08-04_3d_L_0.1mM_01
510,top488_30,-0.10532994,0.1 mM,2017-08-04_3d_L_0.1mM_01
540,top488_60,0.195404745,0.1 mM,2017-08-04_3d_L_0.1mM_01
570,top488_90,0.319097983,0.1 mM,2017-08-04_3d_L_0.1mM_01
600,top488_120,0.335112102,0.1 mM,2017-08-04_3d_L_0.1mM_01
630,dark2_30,0.125309158,0.1 mM,2017-08-04_3d_L_0.1mM_01
660,dark2_60,-0.024745114,0.1 mM,2017-08-04_3d_L_0.1mM_01
690,dark2_90,0.030309243,0.1 mM,2017-08-04_3d_L_0.1mM_01
720,dark2_120,0.072588701,0.1 mM,2017-08-04_3d_L_0.1mM_01
750,top395_30,0.055316217,0.1 mM,2017-08-04_3d_L_0.1mM_01
780,top395_60,0.055881548,0.1 mM,2017-08-04_3d_L_0.1mM_01
810,top395_90,-0.007461951,0.1 mM,2017-08-04_3d_L_0.1mM_01
840,top395_120,-0.074338586,0.1 mM,2017-08-04_3d_L_0.1mM_01
180,dark_180,-0.066337271,0.1 mM,2017-08-04_3d_L_0.1mM_04
210,dark_210,-0.056187215,0.1 mM,2017-08-04_3d_L_0.1mM_04
240,dark_240,-0.053351492,0.1 mM,2017-08-04_3d_L_0.1mM_04
