frame,stimuli,sample,intensity
27,cPRC,larva_1,0.995669629
27,cPRC,larva_2,0.977872694
27,cPRC,larva_3,1.006892017
27,cPRC,larva_4,1.028461337
27,cPRC,larva_5,0.984141406
27,cPRC,larva_6,1.020568947
27,cPRC,larva_7,0.982697837
27,cPRC,larva_8,0.977542759
27,cPRC,larva_9,0.990426167
27,cPRC,larva_10,1.084933101
27,cPRC,larva_11,1.116343334
28,cPRC,larva_1,1.107467889
28,cPRC,larva_2,1.04443258
28,cPRC,larva_3,1.00669719
28,cPRC,larva_4,1.010797428
28,cPRC,larva_5,0.992447589
28,cPRC,larva_6,0.979136791
28,cPRC,larva_7,0.997068384
28,cPRC,larva_8,0.96282073
28,cPRC,larva_9,1.002891138
28,cPRC,larva_10,1.069109948
28,cPRC,larva_11,1.07063501
29,cPRC,larva_1,0.98246511
29,cPRC,larva_2,0.940380851
29,cPRC,larva_3,1.010934684
29,cPRC,larva_4,0.991463796
29,cPRC,larva_5,0.977643372
29,cPRC,larva_6,1.031056461
29,cPRC,larva_7,0.996208901
29,cPRC,larva_8,1.019846061
29,cPRC,larva_9,0.947270416
29,cPRC,larva_10,1.114892379
29,cPRC,larva_11,1.052080984
30,cPRC,larva_1,0.997185704
30,cPRC,larva_2,1.049534318
30,cPRC,larva_3,1.005406459
30,cPRC,larva_4,0.953148053
30,cPRC,larva_5,0.963517211
30,cPRC,larva_6,1.029545914
30,cPRC,larva_7,1.008413552
30,cPRC,larva_8,0.939085213
30,cPRC,larva_9,0.975097622
30,cPRC,larva_10,1.047004072
30,cPRC,larva_11,1.078812317
31,cPRC,larva_1,0.973759909
31,cPRC,larva_2,1.032568073
31,cPRC,larva_3,1.005576932
31,cPRC,larva_4,0.973052906
31,cPRC,larva_5,1.011885187
31,cPRC,larva_6,1.006067692
31,cPRC,larva_7,1.006419552
31,cPRC,larva_8,1.041358251
31,cPRC,larva_9,1.022498201
31,cPRC,larva_10,1.119371728
31,cPRC,larva_11,1.103146853
32,cPRC,larva_1,1.100914535
32,cPRC,larva_2,0.964584446
32,cPRC,larva_3,1.004164434
32,cPRC,larva_4,1.0058322
32,cPRC,larva_5,0.892434367
32,cPRC,larva_6,1.026740612
32,cPRC,larva_7,0.983797975
32,cPRC,larva_8,0.957232368
32,cPRC,larva_9,1.012997871
32,cPRC,larva_10,1.048225713
32,cPRC,larva_11,1.058425446
33,cPRC,larva_1,1.046727102
33,cPRC,larva_2,1.057246248
33,cPRC,larva_3,1.006015294
33,cPRC,larva_4,0.958772382
33,cPRC,larva_5,0.954080935
33,cPRC,larva_6,1.030538559
33,cPRC,larva_7,0.999749969
33,cPRC,larva_8,1.011253203
33,cPRC,larva_9,0.998073595
33,cPRC,larva_10,1.102268761
33,cPRC,larva_11,1.042155425
34,cPRC,larva_1,1.002467511
34,cPRC,larva_2,1.004330545
34,cPRC,larva_3,1.009449126
34,cPRC,larva_4,1.01198381
34,cPRC,larva_5,1.036916745
34,cPRC,larva_6,0.99091906
34,cPRC,larva_7,0.978125391
34,cPRC,larva_8,1.04177888
34,cPRC,larva_9,1.017411145
34,cPRC,larva_10,1.062187318
34,cPRC,larva_11,1.00967178
35,cPRC,larva_1,0.993028725
35,cPRC,larva_2,0.945126654
35,cPRC,larva_3,1.001339438
35,cPRC,larva_4,1.039578175
35,cPRC,larva_5,1.024372714
35,cPRC,larva_6,1.01616678
35,cPRC,larva_7,1.004769346
35,cPRC,larva_8,0.954107692
35,cPRC,larva_9,0.979915165
35,cPRC,larva_10,1.052472368
35,cPRC,larva_11,1.053096097
36,cPRC,larva_1,1.009998977
36,cPRC,larva_2,1.007178027
36,cPRC,larva_3,1.010374556
36,cPRC,larva_4,0.992430478
36,cPRC,larva_5,1.037255773
36,cPRC,larva_6,0.99350857
36,cPRC,larva_7,1.029419302
36,cPRC,larva_8,0.981508694
36,cPRC,larva_9,1.005653645
36,cPRC,larva_10,1.113147179
36,cPRC,larva_11,1.080475976
37,cPRC,larva_1,1.006086527
37,cPRC,larva_2,1.054814024
37,cPRC,larva_3,1.004724563
37,cPRC,larva_4,0.941328173
37,cPRC,larva_5,0.989848375
37,cPRC,larva_6,0.985653724
37,cPRC,larva_7,1.008654207
37,cPRC,larva_8,1.035048809
37,cPRC,larva_9,1.011246038
37,cPRC,larva_10,1.111169284
37,cPRC,larva_11,1.066546357
38,cPRC,larva_1,1.001440493
38,cPRC,larva_2,1.033339266
38,cPRC,larva_3,1.007062491
38,cPRC,larva_4,1.014532334
38,cPRC,larva_5,1.011320141
38,cPRC,larva_6,1.01961946
38,cPRC,larva_7,1.025190649
38,cPRC,larva_8,0.917212483
38,cPRC,larva_9,0.984564262
38,cPRC,larva_10,1.076148924
38,cPRC,larva_11,1.050501917
39,cPRC,larva_1,1.05870898
39,cPRC,larva_2,0.989084653
39,cPRC,larva_3,1.005820467
39,cPRC,larva_4,1.0421267
39,cPRC,larva_5,0.959674895
39,cPRC,larva_6,1.009218262
39,cPRC,larva_7,1.00507876
39,cPRC,larva_8,0.988839664
39,cPRC,larva_9,0.960341791
39,cPRC,larva_10,1.008726003
39,cPRC,larva_11,1.01556508
40,cPRC,larva_1,1.025404249
40,cPRC,larva_2,0.903719523
40,cPRC,larva_3,0.999780819
40,cPRC,larva_4,1.000954852
40,cPRC,larva_5,0.985723536
40,cPRC,larva_6,1.034379665
40,cPRC,larva_7,0.995177522
40,cPRC,larva_8,1.007527628
40,cPRC,larva_9,1.01343583
40,cPRC,larva_10,1.062943572
40,cPRC,larva_11,1.035247011
41,cPRC,larva_1,0.948524606
41,cPRC,larva_2,1.026813787
41,cPRC,larva_3,1.005041157
41,cPRC,larva_4,1.015542956
41,cPRC,larva_5,0.990978468
41,cPRC,larva_6,0.968045057
41,cPRC,larva_7,1.027425303
41,cPRC,larva_8,0.978083569
41,cPRC,larva_9,0.987933173
41,cPRC,larva_10,1.078941245
41,cPRC,larva_11,1.031496729
42,cPRC,larva_1,1.003298907
42,cPRC,larva_2,1.025152756
42,cPRC,larva_3,0.999391165
42,cPRC,larva_4,0.967077056
42,cPRC,larva_5,1.004878611
42,cPRC,larva_6,1.027258514
42,cPRC,larva_7,1.001125141
42,cPRC,larva_8,0.961198302
42,cPRC,larva_9,0.967921841
42,cPRC,larva_10,1.047760326
42,cPRC,larva_11,1.003750282
43,cPRC,larva_1,1.056410416
43,cPRC,larva_2,0.946431749
43,cPRC,larva_3,1.006258828
43,cPRC,larva_4,0.999548769
43,cPRC,larva_5,0.965494873
43,cPRC,larva_6,1.039386051
43,cPRC,larva_7,0.98792349
43,cPRC,larva_8,0.981989413
43,cPRC,larva_9,1.012189333
43,cPRC,larva_10,1.068644561
43,cPRC,larva_11,1.028310399
44,cPRC,larva_1,0.933412768
44,cPRC,larva_2,0.968796346
44,cPRC,larva_3,1.004529736
44,cPRC,larva_4,1.010577727
44,cPRC,larva_5,0.968546124
44,cPRC,larva_6,0.982416837
44,cPRC,larva_7,0.988507938
44,cPRC,larva_8,1.04177888
44,cPRC,larva_9,1.004238703
44,cPRC,larva_10,1.026992437
44,cPRC,larva_11,0.98372998
45,cPRC,larva_1,0.983100883
45,cPRC,larva_2,1.042059678
45,cPRC,larva_3,1.00207004
45,cPRC,larva_4,1.02397945
45,cPRC,larva_5,1.011320141
45,cPRC,larva_6,0.974475673
45,cPRC,larva_7,0.992908489
45,cPRC,larva_8,1.019846061
45,cPRC,larva_9,1.031425815
45,cPRC,larva_10,1.001628854
45,cPRC,larva_11,1.040632754
46,cPRC,larva_1,0.981780432
46,cPRC,larva_2,0.980838821
46,cPRC,larva_3,1.001802153
46,cPRC,larva_4,0.953807154
46,cPRC,larva_5,0.987023143
46,cPRC,larva_6,0.997133884
46,cPRC,larva_7,0.979191149
46,cPRC,larva_8,1.048508951
46,cPRC,larva_9,1.01683843
46,cPRC,larva_10,1.004363002
46,cPRC,larva_11,0.995854952
47,cPRC,larva_1,0.887392574
47,cPRC,larva_2,0.954084357
47,cPRC,larva_3,0.999220691
47,cPRC,larva_4,0.986366748
47,cPRC,larva_5,0.969337189
47,cPRC,larva_6,1.002442379
47,cPRC,larva_7,0.985345043
47,cPRC,larva_8,1.028198559
47,cPRC,larva_9,0.988910157
47,cPRC,larva_10,1.026468877
47,cPRC,larva_11,0.983899165
48,cPRC,larva_1,0.954980149
48,cPRC,larva_2,0.984872753
48,cPRC,larva_3,1.000194827
48,cPRC,larva_4,0.997966927
48,cPRC,larva_5,1.054998231
48,cPRC,larva_6,0.975123051
48,cPRC,larva_7,1.044271159
48,cPRC,larva_8,0.954047602
48,cPRC,larva_9,1.008618287
48,cPRC,larva_10,1.049505526
48,cPRC,larva_11,0.969180014
49,cPRC,larva_1,1.01958448
49,cPRC,larva_2,0.971643827
49,cPRC,larva_3,1.001193317
49,cPRC,larva_4,0.964484591
49,cPRC,larva_5,0.987983722
49,cPRC,larva_6,0.96739768
49,cPRC,larva_7,0.993046006
49,cPRC,larva_8,0.989981372
49,cPRC,larva_9,0.981869133
49,cPRC,larva_10,0.981617219
49,cPRC,larva_11,0.985111663
50,cPRC,larva_1,1.033326961
50,cPRC,larva_2,1.1173993
50,cPRC,larva_3,1
50,cPRC,larva_4,1.028285577
50,cPRC,larva_5,1.033187438
50,cPRC,larva_6,0.892906117
50,cPRC,larva_7,1.008379172
50,cPRC,larva_8,0.992985868
50,cPRC,larva_9,0.986619298
50,cPRC,larva_10,1
50,cPRC,larva_11,1
51,cPRC,larva_1,0.977525642
51,cPRC,larva_2,0.993830456
51,cPRC,larva_3,1.002654522
51,cPRC,larva_4,1.020947585
51,cPRC,larva_5,1.020869426
51,cPRC,larva_6,0.955226984
51,cPRC,larva_7,1.038289161
51,cPRC,larva_8,1.003561693
51,cPRC,larva_9,0.98880909
51,cPRC,larva_10,1.022396742
51,cPRC,larva_11,1.027323483
52,cPRC,larva_1,0.907248258
52,cPRC,larva_2,0.93545708
52,cPRC,larva_3,1.000803663
52,cPRC,larva_4,1.089538038
52,cPRC,larva_5,1.009455487
52,cPRC,larva_6,1.079307659
52,cPRC,larva_7,0.961932742
52,cPRC,larva_8,0.973576825
52,cPRC,larva_9,1.010167986
52,cPRC,larva_10,1.059744037
52,cPRC,larva_11,1.002622378
53,cPRC,larva_1,1.066387164
53,cPRC,larva_2,1.059500504
53,cPRC,larva_3,1.021698894
53,cPRC,larva_4,1.062339133
53,cPRC,larva_5,1.078391155
53,cPRC,larva_6,1.042881889
53,cPRC,larva_7,1.024056132
53,cPRC,larva_8,1.017081924
53,cPRC,larva_9,0.981161662
53,cPRC,larva_10,1.157591623
53,cPRC,larva_11,1.032483645
54,cPRC,larva_1,1.097491141
54,cPRC,larva_2,1.049712286
54,cPRC,larva_3,1.024694365
54,cPRC,larva_4,1.083825828
54,cPRC,larva_5,1.084098124
54,cPRC,larva_6,1.049916724
54,cPRC,larva_7,1.0023284160000001
54,cPRC,larva_8,1.065033678
54,cPRC,larva_9,1.010370121
54,cPRC,larva_10,1.139906923
54,cPRC,larva_11,1.063923979
55,cPRC,larva_1,1.182684741
55,cPRC,larva_2,1.098356766
55,cPRC,larva_3,1.028201257
55,cPRC,larva_4,1.116033901
55,cPRC,larva_5,1.067429253
55,cPRC,larva_6,1.056261023
55,cPRC,larva_7,1.01095762
55,cPRC,larva_8,1.072124288
55,cPRC,larva_9,0.987461526
55,cPRC,larva_10,1.144851658
55,cPRC,larva_11,1.047738552
56,cPRC,larva_1,1.069468218
56,cPRC,larva_2,1.094856736
56,cPRC,larva_3,1.030758365
56,cPRC,larva_4,1.12715074
56,cPRC,larva_5,1.093251876
56,cPRC,larva_6,1.054534683
56,cPRC,larva_7,1.026978372
56,cPRC,larva_8,1.07068213
56,cPRC,larva_9,1.040555564
56,cPRC,larva_10,1.214136126
56,cPRC,larva_11,1.036515903
57,cPRC,larva_1,1.162437812
57,cPRC,larva_2,1.096399122
57,cPRC,larva_3,1.026837465
57,cPRC,larva_4,1.076883297
57,cPRC,larva_5,1.063304414
57,cPRC,larva_6,1.080170829
57,cPRC,larva_7,1.014911239
57,cPRC,larva_8,1.066896465
57,cPRC,larva_9,1.062790377
57,cPRC,larva_10,1.215241419
57,cPRC,larva_11,1.047823145
58,cPRC,larva_1,1.148499709
58,cPRC,larva_2,1.086848194
58,cPRC,larva_3,1.030441771
58,cPRC,larva_4,1.100259415
58,cPRC,larva_5,1.0688418690000001
58,cPRC,larva_6,1.08875937
58,cPRC,larva_7,1.024365546
58,cPRC,larva_8,1.051873986
58,cPRC,larva_9,1.049146287
58,cPRC,larva_10,1.255148342
58,cPRC,larva_11,1.052165576
59,cPRC,larva_1,1.098860499
59,cPRC,larva_2,1.001542386
59,cPRC,larva_3,1.027592421
59,cPRC,larva_4,1.129347743
59,cPRC,larva_5,1.059688117
59,cPRC,larva_6,1.085090898
59,cPRC,larva_7,1.050906363
59,cPRC,larva_8,1.044663196
59,cPRC,larva_9,1.060870098
59,cPRC,larva_10,1.273182083
59,cPRC,larva_11,1.057607715
60,cPRC,larva_1,1.089421713
60,cPRC,larva_2,1.056000475
60,cPRC,larva_3,1.03022259
60,cPRC,larva_4,1.158655772
60,cPRC,larva_5,1.039741977
60,cPRC,larva_6,1.094456291
60,cPRC,larva_7,1.085285661
60,cPRC,larva_8,1.076270492
60,cPRC,larva_9,1.075120592
60,cPRC,larva_10,1.197556719
60,cPRC,larva_11,1.114905256
61,cPRC,larva_1,1.103115288
61,cPRC,larva_2,1.087204129
61,cPRC,larva_3,1.031391554
61,cPRC,larva_4,1.128073481
61,cPRC,larva_5,1.097207201
61,cPRC,larva_6,1.059152642
61,cPRC,larva_7,1.01728341
61,cPRC,larva_8,1.027056851
61,cPRC,larva_9,1.078994839
61,cPRC,larva_10,1.221000582
61,cPRC,larva_11,1.062062937
62,cPRC,larva_1,1.105364947
62,cPRC,larva_2,1.057602183
62,cPRC,larva_3,1.026715698
62,cPRC,larva_4,1.143320686
62,cPRC,larva_5,1.079690761
