time,condition,displacement,genotype,batch
630,dark2_30,-0.025616209,NOS11x11,2017-06-29_2d_nnxnn_00
660,dark2_60,-0.053751825,NOS11x11,2017-06-29_2d_nnxnn_00
690,dark2_90,-0.05907261,NOS11x11,2017-06-29_2d_nnxnn_00
720,dark2_120,-0.045215908,NOS11x11,2017-06-29_2d_nnxnn_00
750,top395_30,0.021906163,NOS11x11,2017-06-29_2d_nnxnn_00
780,top395_60,0.070462114,NOS11x11,2017-06-29_2d_nnxnn_00
810,top395_90,0.049634985,NOS11x11,2017-06-29_2d_nnxnn_00
840,top395_120,0.054252348,NOS11x11,2017-06-29_2d_nnxnn_00
180,dark_180,-0.242281537,NOS11x11,2017-06-30_2d_nnxnn_00
210,dark_210,-0.222811439,NOS11x11,2017-06-30_2d_nnxnn_00
240,dark_240,-0.18607551,NOS11x11,2017-06-30_2d_nnxnn_00
270,sideUV_30,-0.149265692,NOS11x11,2017-06-30_2d_nnxnn_00
300,sideUV_60,-0.12005626,NOS11x11,2017-06-30_2d_nnxnn_00
330,sideUV_90,-0.085883104,NOS11x11,2017-06-30_2d_nnxnn_00
360,sideUV_120,-0.075978884,NOS11x11,2017-06-30_2d_nnxnn_00
390,dark1_30,-0.119572735,NOS11x11,2017-06-30_2d_nnxnn_00
420,dark1_60,-0.107010481,NOS11x11,2017-06-30_2d_nnxnn_00
450,dark1_90,-0.067192698,NOS11x11,2017-06-30_2d_nnxnn_00
480,dark1_120,-0.02421331,NOS11x11,2017-06-30_2d_nnxnn_00
510,top488_30,0.171198351,NOS11x11,2017-06-30_2d_nnxnn_00
540,top488_60,0.284875875,NOS11x11,2017-06-30_2d_nnxnn_00
570,top488_90,0.29921667,NOS11x11,2017-06-30_2d_nnxnn_00
600,top488_120,0.316858884,NOS11x11,2017-06-30_2d_nnxnn_00
630,dark2_30,-0.169689556,NOS11x11,2017-06-30_2d_nnxnn_00
660,dark2_60,-0.258194975,NOS11x11,2017-06-30_2d_nnxnn_00
690,dark2_90,-0.177712523,NOS11x11,2017-06-30_2d_nnxnn_00
720,dark2_120,-0.10181658,NOS11x11,2017-06-30_2d_nnxnn_00
750,top395_30,0.327461005,NOS11x11,2017-06-30_2d_nnxnn_00
780,top395_60,0.343316428,NOS11x11,2017-06-30_2d_nnxnn_00
810,top395_90,0.338732935,NOS11x11,2017-06-30_2d_nnxnn_00
840,top395_120,0.317126037,NOS11x11,2017-06-30_2d_nnxnn_00
180,dark_180,0.134247587,NOS11x11,2017-06-30_2d_nnxnn_02
210,dark_210,0.140368163,NOS11x11,2017-06-30_2d_nnxnn_02
240,dark_240,0.131565207,NOS11x11,2017-06-30_2d_nnxnn_02
270,sideUV_30,0.104166872,NOS11x11,2017-06-30_2d_nnxnn_02
300,sideUV_60,0.075718742,NOS11x11,2017-06-30_2d_nnxnn_02
330,sideUV_90,-0.06155876,NOS11x11,2017-06-30_2d_nnxnn_02
360,sideUV_120,-0.12731524,NOS11x11,2017-06-30_2d_nnxnn_02
390,dark1_30,-0.179462539,NOS11x11,2017-06-30_2d_nnxnn_02
420,dark1_60,-0.0885023,NOS11x11,2017-06-30_2d_nnxnn_02
450,dark1_90,-0.058337782,NOS11x11,2017-06-30_2d_nnxnn_02
480,dark1_120,-0.052857816,NOS11x11,2017-06-30_2d_nnxnn_02
510,top488_30,0.301831569,NOS11x11,2017-06-30_2d_nnxnn_02
540,top488_60,0.355513123,NOS11x11,2017-06-30_2d_nnxnn_02
570,top488_90,0.349530911,NOS11x11,2017-06-30_2d_nnxnn_02
600,top488_120,0.292552006,NOS11x11,2017-06-30_2d_nnxnn_02
630,dark2_30,0.081752713,NOS11x11,2017-06-30_2d_nnxnn_02
660,dark2_60,0.080012965,NOS11x11,2017-06-30_2d_nnxnn_02
690,dark2_90,0.06288386,NOS11x11,2017-06-30_2d_nnxnn_02
720,dark2_120,0.04136159,NOS11x11,2017-06-30_2d_nnxnn_02
750,top395_30,0.192642111,NOS11x11,2017-06-30_2d_nnxnn_02
780,top395_60,0.014690655,NOS11x11,2017-06-30_2d_nnxnn_02
810,top395_90,-0.215819753,NOS11x11,2017-06-30_2d_nnxnn_02
840,top395_120,-0.42555588,NOS11x11,2017-06-30_2d_nnxnn_02
180,dark_180,0.175399617,NOS11x11,2017-07-02_2d_nnxnn_00
210,dark_210,0.204284264,NOS11x11,2017-07-02_2d_nnxnn_00
240,dark_240,0.20176636,NOS11x11,2017-07-02_2d_nnxnn_00
270,sideUV_30,0.150613163,NOS11x11,2017-07-02_2d_nnxnn_00
300,sideUV_60,0.099459965,NOS11x11,2017-07-02_2d_nnxnn_00
330,sideUV_90,0.108019554,NOS11x11,2017-07-02_2d_nnxnn_00
360,sideUV_120,0.064218334,NOS11x11,2017-07-02_2d_nnxnn_00
390,dark1_30,-0.01106625,NOS11x11,2017-07-02_2d_nnxnn_00
420,dark1_60,0.102766407,NOS11x11,2017-07-02_2d_nnxnn_00
450,dark1_90,0.138374445,NOS11x11,2017-07-02_2d_nnxnn_00
480,dark1_120,0.113273141,NOS11x11,2017-07-02_2d_nnxnn_00
510,top488_30,0.44807048,NOS11x11,2017-07-02_2d_nnxnn_00
540,top488_60,0.634013742,NOS11x11,2017-07-02_2d_nnxnn_00
570,top488_90,0.521041733,NOS11x11,2017-07-02_2d_nnxnn_00
600,top488_120,0.468038981,NOS11x11,2017-07-02_2d_nnxnn_00
630,dark2_30,-0.058303334,NOS11x11,2017-07-02_2d_nnxnn_00
660,dark2_60,0.013437309,NOS11x11,2017-07-02_2d_nnxnn_00
690,dark2_90,0.064882571,NOS11x11,2017-07-02_2d_nnxnn_00
720,dark2_120,0.071394204,NOS11x11,2017-07-02_2d_nnxnn_00
750,top395_30,0.317810451,NOS11x11,2017-07-02_2d_nnxnn_00
780,top395_60,0.288695482,NOS11x11,2017-07-02_2d_nnxnn_00
810,top395_90,0.125686522,NOS11x11,2017-07-02_2d_nnxnn_00
