frame,genotype,sample,intensity
5,NOS11_Ser-h1,36,1.041414141
5,NOS11_Ser-h1,37,1.177765377
5,NOS11_Ser-h1,38,0.948274985
5,NOS11_Ser-h1,39,0.954803311
6,WT_Ser-h1,2,0.979852727
6,WT_Ser-h1,3,0.91936822
6,WT_Ser-h1,4,0.962283559
6,WT_Ser-h1,5,1.00468119
6,WT_Ser-h1,6,1.154640402
6,WT_Ser-h1,7,0.996234641
6,WT_Ser-h1,8,0.813572543
6,WT_Ser-h1,9,0.800039557
6,WT_Ser-h1,10,1.541627202
6,WT_Ser-h1,11,1.58729961
6,WT_Ser-h1,12,1.517047436
6,WT_Ser-h1,13,0.983399241
6,WT_Ser-h1,14,0.843896398
6,WT_Ser-h1,15,0.827914409
6,WT_Ser-h1,16,0.9823816
6,WT_Ser-h1,17,0.57054698
6,WT_Ser-h1,18,0.987970231
6,WT_Ser-h1,19,0.868207166
6,WT_Ser-h1,20,0.853496698
6,WT_Ser-h1,21,1.139648312
6,WT_Ser-h1,22,1.11894741
6,WT_Ser-h1,23,1.007906448
6,WT_Ser-h1,24,1.392356906
6,WT_Ser-h1,25,1.230172037
6,NOS11_Ser-h1,26,0.869738682
6,NOS11_Ser-h1,27,0.907300331
6,NOS11_Ser-h1,28,1.021086736
6,NOS11_Ser-h1,29,1.069251921
6,NOS11_Ser-h1,30,0.979198116
6,NOS11_Ser-h1,31,0.997087888
6,NOS11_Ser-h1,32,1.03152713
6,NOS11_Ser-h1,33,1.146374392
6,NOS11_Ser-h1,34,0.996285413
6,NOS11_Ser-h1,35,0.921533732
6,NOS11_Ser-h1,36,1.041336441
6,NOS11_Ser-h1,37,1.04265873
6,NOS11_Ser-h1,38,0.938916674
6,NOS11_Ser-h1,39,0.962243095
7,WT_Ser-h1,2,1.008036482
7,WT_Ser-h1,3,0.927728143
7,WT_Ser-h1,4,0.956068918
7,WT_Ser-h1,5,1.006301602
7,WT_Ser-h1,6,1.14714629
7,WT_Ser-h1,7,0.995541023
7,WT_Ser-h1,8,0.776840165
7,WT_Ser-h1,9,0.789585217
7,WT_Ser-h1,10,1.513828377
7,WT_Ser-h1,11,1.603704627
7,WT_Ser-h1,12,1.530781304
7,WT_Ser-h1,13,0.897184919
7,WT_Ser-h1,14,0.825372893
7,WT_Ser-h1,15,0.81349868
7,WT_Ser-h1,16,0.977764559
7,WT_Ser-h1,17,0.634478746
7,WT_Ser-h1,18,0.978251266
7,WT_Ser-h1,19,0.870211758
7,WT_Ser-h1,20,0.830349978
7,WT_Ser-h1,21,1.112437428
7,WT_Ser-h1,22,1.114502616
7,WT_Ser-h1,23,1.012025376
7,WT_Ser-h1,24,1.380715183
7,WT_Ser-h1,25,1.190607696
7,NOS11_Ser-h1,26,0.895984178
7,NOS11_Ser-h1,27,0.913298909
7,NOS11_Ser-h1,28,1.015513028
7,NOS11_Ser-h1,29,1.080250588
7,NOS11_Ser-h1,30,0.957641447
7,NOS11_Ser-h1,31,0.988685731
7,NOS11_Ser-h1,32,0.996017365
7,NOS11_Ser-h1,33,1.128610509
7,NOS11_Ser-h1,34,0.984725841
7,NOS11_Ser-h1,35,0.908402092
7,NOS11_Ser-h1,36,1.043123543
7,NOS11_Ser-h1,37,0.927517361
7,NOS11_Ser-h1,38,0.938543698
7,NOS11_Ser-h1,39,0.963526458
8,WT_Ser-h1,2,0.985197922
8,WT_Ser-h1,3,0.979674537
8,WT_Ser-h1,4,0.985942054
8,WT_Ser-h1,5,0.989557345
8,WT_Ser-h1,6,1.155806152
8,WT_Ser-h1,7,0.995210728
8,WT_Ser-h1,8,0.819600057
8,WT_Ser-h1,9,0.850276899
8,WT_Ser-h1,10,1.470922523
8,WT_Ser-h1,11,1.546515491
8,WT_Ser-h1,12,1.585585978
8,WT_Ser-h1,13,0.954817744
8,WT_Ser-h1,14,0.829357601
8,WT_Ser-h1,15,0.82159233
8,WT_Ser-h1,16,0.978161115
8,WT_Ser-h1,17,0.620176406
8,WT_Ser-h1,18,1.008903388
8,WT_Ser-h1,19,0.872653716
8,WT_Ser-h1,20,0.846737856
8,WT_Ser-h1,21,1.102639798
8,WT_Ser-h1,22,1.118396727
8,WT_Ser-h1,23,1.017091185
8,WT_Ser-h1,24,1.370147378
8,WT_Ser-h1,25,1.17977259
8,NOS11_Ser-h1,26,0.897961967
8,NOS11_Ser-h1,27,0.892644012
8,NOS11_Ser-h1,28,1.013783257
8,NOS11_Ser-h1,29,1.101170734
8,NOS11_Ser-h1,30,0.980466155
8,NOS11_Ser-h1,31,0.986060056
8,NOS11_Ser-h1,32,1.013815537
8,NOS11_Ser-h1,33,1.122037873
8,NOS11_Ser-h1,34,0.985113932
8,NOS11_Ser-h1,35,0.928625357
8,NOS11_Ser-h1,36,1.031740482
8,NOS11_Ser-h1,37,0.931547619
8,NOS11_Ser-h1,38,0.921149445
8,NOS11_Ser-h1,39,0.943290245
9,WT_Ser-h1,2,1.027025007
9,WT_Ser-h1,3,0.976005105
9,WT_Ser-h1,4,1.009386251
9,WT_Ser-h1,5,0.996501968
9,WT_Ser-h1,6,1.138129565
9,WT_Ser-h1,7,0.999009116
9,WT_Ser-h1,8,0.820025528
9,WT_Ser-h1,9,0.840415913
9,WT_Ser-h1,10,1.456052283
9,WT_Ser-h1,11,1.547512252
9,WT_Ser-h1,12,1.49895361
9,WT_Ser-h1,13,0.879996868
9,WT_Ser-h1,14,0.810161004
9,WT_Ser-h1,15,0.815513408
9,WT_Ser-h1,16,0.972467709
9,WT_Ser-h1,17,0.606471273
9,WT_Ser-h1,18,1.002140891
9,WT_Ser-h1,19,0.92867296
9,WT_Ser-h1,20,0.880007407
9,WT_Ser-h1,21,1.1133359
9,WT_Ser-h1,22,1.127207647
9,WT_Ser-h1,23,1.0094688
9,WT_Ser-h1,24,1.383320005
9,WT_Ser-h1,25,1.156580672
9,NOS11_Ser-h1,26,0.910556168
9,NOS11_Ser-h1,27,0.891809159
9,NOS11_Ser-h1,28,1.011833832
9,NOS11_Ser-h1,29,1.07993877
9,NOS11_Ser-h1,30,0.962049393
9,NOS11_Ser-h1,31,0.970258271
9,NOS11_Ser-h1,32,1.029919234
9,NOS11_Ser-h1,33,1.103812129
9,NOS11_Ser-h1,34,0.984282309
9,NOS11_Ser-h1,35,0.917462115
9,NOS11_Ser-h1,36,1.023581974
9,NOS11_Ser-h1,37,1.126116071
9,NOS11_Ser-h1,38,0.931050267
9,NOS11_Ser-h1,39,0.930586813
10,WT_Ser-h1,2,1.012110791
10,WT_Ser-h1,3,1.001723038
10,WT_Ser-h1,4,1.005700326
10,WT_Ser-h1,5,0.991100594
10,WT_Ser-h1,6,1.152047201
10,WT_Ser-h1,7,0.985301889
10,WT_Ser-h1,8,0.819600057
10,WT_Ser-h1,9,0.834595389
10,WT_Ser-h1,10,1.454347414
10,WT_Ser-h1,11,1.549173519
10,WT_Ser-h1,12,1.638079874
10,WT_Ser-h1,13,0.864296622
10,WT_Ser-h1,14,0.812018739
10,WT_Ser-h1,15,0.784736696
10,WT_Ser-h1,16,0.987650125
10,WT_Ser-h1,17,0.596425946
10,WT_Ser-h1,18,0.993781221
10,WT_Ser-h1,19,0.934030688
10,WT_Ser-h1,20,0.880933276
10,WT_Ser-h1,21,1.115731827
10,WT_Ser-h1,22,1.109231798
10,WT_Ser-h1,23,1.019269009
10,WT_Ser-h1,24,1.366719982
10,WT_Ser-h1,25,1.135939019
10,NOS11_Ser-h1,26,0.905611694
10,NOS11_Ser-h1,27,0.897220247
10,NOS11_Ser-h1,28,1.006562148
10,NOS11_Ser-h1,29,1.07993877
10,NOS11_Ser-h1,30,0.971559688
10,NOS11_Ser-h1,31,0.95397909
10,NOS11_Ser-h1,32,1.04059319
10,NOS11_Ser-h1,33,1.101538352
10,NOS11_Ser-h1,34,0.997837778
10,NOS11_Ser-h1,35,0.949010408
10,NOS11_Ser-h1,36,1.018026418
10,NOS11_Ser-h1,37,1.097780258
10,NOS11_Ser-h1,38,0.931355429
10,NOS11_Ser-h1,39,0.981288943
11,WT_Ser-h1,2,0.993010129
11,WT_Ser-h1,3,0.99460753
11,WT_Ser-h1,4,1.032959026
11,WT_Ser-h1,5,0.976414002
11,WT_Ser-h1,6,1.142459496
11,WT_Ser-h1,7,0.985632184
11,WT_Ser-h1,8,0.840731811
11,WT_Ser-h1,9,0.851746157
11,WT_Ser-h1,10,1.381985224
11,WT_Ser-h1,11,1.510133732
11,WT_Ser-h1,12,1.665983607
11,WT_Ser-h1,13,0.914881955
11,WT_Ser-h1,14,0.795514512
11,WT_Ser-h1,15,0.766986244
11,WT_Ser-h1,16,0.970853161
11,WT_Ser-h1,17,0.583302707
11,WT_Ser-h1,18,0.980664016
11,WT_Ser-h1,19,0.99085177
11,WT_Ser-h1,20,0.962471452
11,WT_Ser-h1,21,1.091815342
11,WT_Ser-h1,22,1.08500177
11,WT_Ser-h1,23,1.010463024
11,WT_Ser-h1,24,1.35338741
11,WT_Ser-h1,25,1.19955476
11,NOS11_Ser-h1,26,0.917160167
11,NOS11_Ser-h1,27,0.890881544
11,NOS11_Ser-h1,28,1.000851157
11,NOS11_Ser-h1,29,1.069053491
11,NOS11_Ser-h1,30,0.9532335
11,NOS11_Ser-h1,31,0.964481787
11,NOS11_Ser-h1,32,1.026913705
11,NOS11_Ser-h1,33,1.090489217
11,NOS11_Ser-h1,34,1.00277208
11,NOS11_Ser-h1,35,0.93935717
11,NOS11_Ser-h1,36,1.034110334
11,NOS11_Ser-h1,37,1.094184028
11,NOS11_Ser-h1,38,0.905755701
11,NOS11_Ser-h1,39,0.970203664
12,WT_Ser-h1,2,1.013419056
12,WT_Ser-h1,3,0.997223995
12,WT_Ser-h1,4,1.027430139
12,WT_Ser-h1,5,0.986213637
12,WT_Ser-h1,6,1.140960674
12,WT_Ser-h1,7,0.999306381
12,WT_Ser-h1,8,0.810062402
12,WT_Ser-h1,9,0.824423599
12,WT_Ser-h1,10,1.367683273
12,WT_Ser-h1,11,1.503571725
12,WT_Ser-h1,12,1.574598884
12,WT_Ser-h1,13,0.904114953
12,WT_Ser-h1,14,0.79957999
12,WT_Ser-h1,15,0.77806725
12,WT_Ser-h1,16,0.951591888
12,WT_Ser-h1,17,0.582919882
12,WT_Ser-h1,18,0.991912189
12,WT_Ser-h1,19,0.955097132
12,WT_Ser-h1,20,0.910252454
12,WT_Ser-h1,21,1.126641852
12,WT_Ser-h1,22,1.1302364
12,WT_Ser-h1,23,1.019931825
12,WT_Ser-h1,24,1.335907689
12,WT_Ser-h1,25,1.213010581
12,NOS11_Ser-h1,26,0.939029519
12,NOS11_Ser-h1,27,0.899755728
12,NOS11_Ser-h1,28,1.011010132
12,NOS11_Ser-h1,29,1.061258043
