frame,morphant,sample,intensity
6,NIT2-MO2,24,1.0740986
6,NIT2-MO2,25,0.9280019
6,NIT2-MO2,26,0.9731749
6,NIT2-MO2,27,0.9777286
6,NIT2-MO2,28,1.0416188
6,NIT2-MO2,29,1.1309934
6,NIT2-MO2,30,1.0572658
6,NIT2-MO2,31,1.153723
6,NIT2-MO2,32,1.1698146
6,NIT2-MO2,33,0.9168111
6,NIT2-MO2,34,0.8039965
6,NIT2-MO2,35,0.9189327
6,NIT2-MO2,36,0.9686967
6,NIT2-MO2,37,1.0215588
6,NIT2-MO2,38,0.9887252
6,NIT2-MO2,39,1.0561677
6,NIT2-MO2,40,1.0669687
6,NIT2-MO2,41,0.9551302
6,NIT2-MO2,42,1.0504908
6,NIT2-MO2,43,1.0257212
6,NIT2-MO2,44,1.0874286
6,NIT2-MO2,45,1.0749472
6,NIT2-MO2,46,1.0460564
6,NIT2-MO2,47,1.1341222
6,NIT2-MO2,48,1.1638085
6,NIT2-MO2,49,1.0719269
6,NIT2-MO2,50,1.0561868
6,NIT2-MO2,51,1.0168733
6,NIT2-MO2,52,1.0282534
6,NIT2-MO2,53,1.0286768
6,NIT2-MO2,54,0.957627
7,NIT2-MO1,2,1.0511713
7,NIT2-MO1,3,1.0180318
7,NIT2-MO1,4,1.040325
7,NIT2-MO1,5,1.0357399
7,NIT2-MO1,6,1.0754202
7,NIT2-MO1,7,0.9640283
7,NIT2-MO1,8,1.0319082
7,NIT2-MO1,9,1.0173876
7,NIT2-MO1,10,0.9984093
7,NIT2-MO1,11,1.0164227
7,NIT2-MO1,12,1.0084393
7,NIT2-MO1,13,1.0354271
7,NIT2-MO1,14,1.106243
7,NIT2-MO1,15,1.035785
7,NIT2-MO1,16,1.0114506
7,NIT2-MO1,17,1.0600558
7,NIT2-MO1,18,1.0186217
7,NIT2-MO1,19,1.0467216
7,NIT2-MO1,20,1.028543
7,NIT2-MO1,21,1.0266732
7,NIT2-MO1,22,1.0774297
7,NIT2-MO2,23,1.0121933
7,NIT2-MO2,24,1.0835208
7,NIT2-MO2,25,0.927832
7,NIT2-MO2,26,0.9785789
7,NIT2-MO2,27,0.9774254
7,NIT2-MO2,28,1.0412866
7,NIT2-MO2,29,1.1648194
