frame,MO,sample,intensity
8,NIT2MO2_RGW,22,0.96685032
8,NIT2MO2_RGW,23,0.82053007
8,NIT2MO2_RGW,24,1.04731759
8,NIT2MO2_RGW,25,1.12281297
8,NIT2MO2_RGW,26,0.83550648
9,NIT2MO1_RGW,2,1.053513533
9,NIT2MO1_RGW,3,0.912455054
9,NIT2MO1_RGW,4,0.83235257
9,NIT2MO1_RGW,5,0.977364634
9,NIT2MO1_RGW,6,1.015307923
9,NIT2MO1_RGW,7,0.955894477
9,NIT2MO1_RGW,8,0.944321557
9,NIT2MO1_RGW,9,1.065408739
9,NIT2MO1_RGW,10,0.971005329
9,NIT2MO1_RGW,11,0.961274772
9,NIT2MO1_RGW,12,0.999662643
9,NIT2MO1_RGW,13,0.982062479
9,NIT2MO1_RGW,14,1.007800934
9,NIT2MO2_RGW,15,1.07986632
9,NIT2MO2_RGW,16,1.02917074
9,NIT2MO2_RGW,17,0.75266533
9,NIT2MO2_RGW,18,0.956629
9,NIT2MO2_RGW,19,0.98738544
9,NIT2MO2_RGW,20,0.96156452
9,NIT2MO2_RGW,21,1.04369495
9,NIT2MO2_RGW,22,1.00720845
9,NIT2MO2_RGW,23,0.82109754
9,NIT2MO2_RGW,24,1.00800895
9,NIT2MO2_RGW,25,1.07816809
9,NIT2MO2_RGW,26,0.8346348
10,NIT2MO1_RGW,2,1.071509235
10,NIT2MO1_RGW,3,0.907960447
10,NIT2MO1_RGW,4,0.82103801
10,NIT2MO1_RGW,5,0.970012079
10,NIT2MO1_RGW,6,1.0123081
10,NIT2MO1_RGW,7,0.942126958
10,NIT2MO1_RGW,8,0.941477596
10,NIT2MO1_RGW,9,1.063985664
10,NIT2MO1_RGW,10,0.983560654
10,NIT2MO1_RGW,11,0.976379218
10,NIT2MO1_RGW,12,0.997113727
10,NIT2MO1_RGW,13,1.015451797
10,NIT2MO1_RGW,14,0.999430589
10,NIT2MO2_RGW,15,1.07802483
10,NIT2MO2_RGW,16,1.00891682
10,NIT2MO2_RGW,17,0.76476894
10,NIT2MO2_RGW,18,0.92291292
10,NIT2MO2_RGW,19,1.02771594
10,NIT2MO2_RGW,20,0.96978456
10,NIT2MO2_RGW,21,1.02246194
10,NIT2MO2_RGW,22,0.9637741
10,NIT2MO2_RGW,23,0.79949137
10,NIT2MO2_RGW,24,0.99328661
10,NIT2MO2_RGW,25,1.10104435
10,NIT2MO2_RGW,26,0.81898086
11,NIT2MO1_RGW,2,1.034206404
11,NIT2MO1_RGW,3,0.907710747
11,NIT2MO1_RGW,4,0.808031317
11,NIT2MO1_RGW,5,0.981356021
11,NIT2MO1_RGW,6,0.996250221
11,NIT2MO1_RGW,7,0.929389942
11,NIT2MO1_RGW,8,0.925993806
11,NIT2MO1_RGW,9,1.063564012
11,NIT2MO1_RGW,10,0.980489567
11,NIT2MO1_RGW,11,0.972094269
11,NIT2MO1_RGW,12,0.983394557
11,NIT2MO1_RGW,13,0.984413839
11,NIT2MO1_RGW,14,1.013608928
11,NIT2MO2_RGW,15,1.09343882
11,NIT2MO2_RGW,16,0.99138041
11,NIT2MO2_RGW,17,0.73734578
11,NIT2MO2_RGW,18,0.92714647
11,NIT2MO2_RGW,19,1.02506869
11,NIT2MO2_RGW,20,0.99435437
11,NIT2MO2_RGW,21,1.04171503
11,NIT2MO2_RGW,22,1.00959596
11,NIT2MO2_RGW,23,0.79079005
11,NIT2MO2_RGW,24,1.04201755
11,NIT2MO2_RGW,25,1.07581717
11,NIT2MO2_RGW,26,0.8438601
12,NIT2MO1_RGW,2,1.033623547
12,NIT2MO1_RGW,3,0.918547743
12,NIT2MO1_RGW,4,0.802500316
12,NIT2MO1_RGW,5,1.014495037
12,NIT2MO1_RGW,6,0.996691371
12,NIT2MO1_RGW,7,0.923701566
12,NIT2MO1_RGW,8,0.953169437
12,NIT2MO1_RGW,9,1.036683708
12,NIT2MO1_RGW,10,0.981302502
12,NIT2MO1_RGW,11,0.963685056
12,NIT2MO1_RGW,12,1.006072419
12,NIT2MO1_RGW,13,0.98286866
12,NIT2MO1_RGW,14,1.007573169
12,NIT2MO2_RGW,15,1.10312372
12,NIT2MO2_RGW,16,1.03617681
12,NIT2MO2_RGW,17,0.76317072
12,NIT2MO2_RGW,18,0.90016142
12,NIT2MO2_RGW,19,1.00214588
12,NIT2MO2_RGW,20,1.03631272
12,NIT2MO2_RGW,21,1.04888373
12,NIT2MO2_RGW,22,0.96129477
12,NIT2MO2_RGW,23,0.83255218
12,NIT2MO2_RGW,24,1.04496202
12,NIT2MO2_RGW,25,1.06503459
12,NIT2MO2_RGW,26,0.86369084
13,NIT2MO1_RGW,2,1.040799971
13,NIT2MO1_RGW,3,0.942718738
13,NIT2MO1_RGW,4,0.805707791
13,NIT2MO1_RGW,5,1.021112337
13,NIT2MO1_RGW,6,1.010499382
13,NIT2MO1_RGW,7,0.931286068
13,NIT2MO1_RGW,8,0.943879163
13,NIT2MO1_RGW,9,1.058609603
