expression,solution,cell,time,intensity
GcG-NIT1,SNAP,E,9.8,1.058281679
GcG-NIT1,SNAP,E,10,1.061775273
GcG-NIT1,SNAP,F,0.2,1.000145146
GcG-NIT1,SNAP,F,0.4,1.000145146
GcG-NIT1,SNAP,F,0.6,1.00822011
GcG-NIT1,SNAP,F,0.8,1.0067277590000001
GcG-NIT1,SNAP,F,1,0.998041123
GcG-NIT1,SNAP,F,1.2,0.993876957
GcG-NIT1,SNAP,F,1.4,1.005781966
GcG-NIT1,SNAP,F,1.6,0.999446397
GcG-NIT1,SNAP,F,1.8,0.995964958
GcG-NIT1,SNAP,F,2,0.991650437
GcG-NIT1,SNAP,F,2.2,1.03525555
GcG-NIT1,SNAP,F,2.4,1.048054952
GcG-NIT1,SNAP,F,2.6,1.060526343
GcG-NIT1,SNAP,F,2.8,1.052889154
GcG-NIT1,SNAP,F,3,1.05568133
GcG-NIT1,SNAP,F,3.2,1.048823388
GcG-NIT1,SNAP,F,3.4,1.04483346
GcG-NIT1,SNAP,F,3.6,1.038146509
GcG-NIT1,SNAP,F,3.8,1.034815595
GcG-NIT1,SNAP,F,4,1.026157415
GcG-NIT1,SNAP,F,4.2,1.01848549
GcG-NIT1,SNAP,F,4.4,1.020288334
GcG-NIT1,SNAP,F,4.6,1.019257002
GcG-NIT1,SNAP,F,4.8,1.015375899
GcG-NIT1,SNAP,F,5,1.006477767
GcG-NIT1,SNAP,F,5.2,0.995093508
GcG-NIT1,SNAP,F,5.4,0.999111208
GcG-NIT1,SNAP,F,5.6,0.993762536
GcG-NIT1,SNAP,F,5.8,0.995369863
GcG-NIT1,SNAP,F,6,0.995756752
GcG-NIT1,SNAP,F,6.2,1.002042373
GcG-NIT1,SNAP,F,6.4,0.988701883
GcG-NIT1,SNAP,F,6.6,0.99204147
GcG-NIT1,SNAP,F,6.8,0.975527684
GcG-NIT1,SNAP,F,7,0.973486255
GcG-NIT1,SNAP,F,7.2,0.977080108
GcG-NIT1,SNAP,F,7.4,0.982747135
GcG-NIT1,SNAP,F,7.6,0.98134968
GcG-NIT1,SNAP,F,7.8,0.981408087
GcG-NIT1,SNAP,F,8,0.98474024
GcG-NIT1,SNAP,F,8.2,0.975567078
GcG-NIT1,SNAP,F,8.4,0.981793865
GcG-NIT1,SNAP,F,8.6,0.970826745
GcG-NIT1,SNAP,F,8.8,0.972776013
GcG-NIT1,SNAP,F,9,0.978865092
GcG-NIT1,SNAP,F,9.2,0.981913883
GcG-NIT1,SNAP,F,9.4,0.988075
GcG-NIT1,SNAP,F,9.6,0.979560167
GcG-NIT1,SNAP,F,9.8,0.976195883
GcG-NIT1,SNAP,F,10,0.981518834
