genotype,Track ID,X,Y,V,nor_X,nor_V,Frame,condition
NOS,ID08,104.1877121,284.4456552,-284.4456552,3.8479735,8.5462061,154,dark
NOS,ID08,104.422228,284.4558206,-284.4558206,4.0824894,8.5360407,155,dark
NOS,ID08,104.6516097,284.4841821,-284.4841821,4.3118711,8.5076792,156,dark
NOS,ID08,104.8264359,284.5039507,-284.5039507,4.4866973,8.4879106,157,dark
NOS,ID08,105.1628323,284.5495914,-284.5495914,4.8230937,8.4422699,158,dark
NOS,ID08,105.3841327,284.6073078,-284.6073078,5.0443941,8.3845535,159,dark
NOS,ID08,105.6633467,284.6989357,-284.6989357,5.3236081,8.2929256,160,dark
NOS,ID08,105.9762126,284.7903364,-284.7903364,5.636474,8.2015249,161,dark
NOS,ID08,106.1512914,284.9305981,-284.9305981,5.8115528,8.0612632,162,dark
NOS,ID08,106.4079389,284.9727426,-284.9727426,6.0682003,8.0191187,163,dark
NOS,ID08,106.8721858,285.092056,-285.092056,6.5324472,7.8998053,164,dark
NOS,ID08,107.0441001,285.1458482,-285.1458482,6.7043615,7.8460131,165,dark
NOS,ID08,107.4746731,285.2812025,-285.2812025,7.1349345,7.7106588,166,dark
NOS,ID08,107.7131712,285.3415572,-285.3415572,7.3734326,7.6503041,167,dark
NOS,ID08,108.193335,285.4779424,-285.4779424,7.8535964,7.5139189,168,dark
NOS,ID08,108.4807529,285.502069,-285.502069,8.1410143,7.4897923,169,dark
NOS,ID08,108.8401699,285.6495142,-285.6495142,8.5004313,7.3423471,170,dark
NOS,ID08,109.1394012,285.7514765,-285.7514765,8.7996626,7.2403848,171,dark
NOS,ID08,109.5279364,285.909426,-285.909426,9.1881978,7.0824353,172,dark
NOS,ID08,109.8351155,286.0250956,-286.0250956,9.4953769,6.9667657,173,dark
NOS,ID08,110.0410846,286.0321194,-286.0321194,9.701346,6.9597419,174,dark
NOS,ID08,110.4801145,286.0927854,-286.0927854,10.1403759,6.8990759,175,dark
NOS,ID08,110.9506247,286.0444456,-286.0444456,10.6108861,6.9474157,176,dark
NOS,ID08,111.009328,286.0183089,-286.0183089,10.6695894,6.9735524,177,dark
NOS,ID08,111.1892143,285.886677,-285.886677,10.8494757,7.1051843,178,dark
NOS,ID08,111.5495803,285.9756631,-285.9756631,11.2098417,7.0161982,179,dark
NOS,ID08,111.7788399,285.8810686,-285.8810686,11.4391013,7.1107927,180,dark
NOS,ID08,112.0548362,285.9264045,-285.9264045,11.7150976,7.0654568,181,dark
NOS,ID08,112.2484768,285.9434711,-285.9434711,11.9087382,7.0483902,182,dark
NOS,ID08,112.2898845,285.9261375,-285.9261375,11.9501459,7.0657238,183,dark
NOS,ID08,112.7639609,285.7256612,-285.7256612,12.4242223,7.2662001,184,dark
NOS,ID08,112.9589657,285.5971814,-285.5971814,12.6192271,7.3946799,185,dark
NOS,ID08,113.1771649,285.7836513,-285.7836513,12.8374263,7.20821,186,dark
NOS,ID08,113.5211077,285.7286095,-285.7286095,13.1813691,7.2632518,187,dark
NOS,ID08,113.5480088,285.5911528,-285.5911528,13.2082702,7.4007085,188,dark
NOS,ID08,113.5152824,285.5174837,-285.5174837,13.1755438,7.4743776,189,dark
NOS,ID08,113.7411664,285.3758931,-285.3758931,13.4014278,7.6159682,190,dark
NOS,ID08,113.6425932,285.5695921,-285.5695921,13.3028546,7.4222692,191,dark
NOS,ID08,113.7902235,285.4840148,-285.4840148,13.4504849,7.5078465,192,dark
NOS,ID08,113.9466558,285.2025994,-285.2025994,13.6069172,7.7892619,193,dark
NOS,ID08,113.9820468,285.3318402,-285.3318402,13.6423082,7.6600211,194,dark
NOS,ID08,114.0017288,285.1994257,-285.1994257,13.6619902,7.7924356,195,dark
NOS,ID08,113.961056,285.1273989,-285.1273989,13.6213174,7.8644624,196,dark
NOS,ID08,113.9288966,284.9338519,-284.9338519,13.589158,8.0580094,197,dark
NOS,ID08,113.9858241,284.9803453,-284.9803453,13.6460855,8.011516,198,dark
NOS,ID08,114.0753147,284.895792,-284.895792,13.7355761,8.0960693,199,dark
NOS,ID08,113.968776,284.8451847,-284.8451847,13.6290374,8.1466766,200,dark
NOS,ID08,113.9365225,284.7524204,-284.7524204,13.5967839,8.2394409,201,dark
NOS,ID08,113.9240819,284.7063551,-284.7063551,13.5843433,8.2855062,202,dark
NOS,ID08,113.9034163,284.3349869,-284.3349869,13.5636777,8.6568744,203,dark
NOS,ID08,113.8623274,284.1901517,-284.1901517,13.5225888,8.8017096,204,dark
NOS,ID08,113.7748678,284.0898614,-284.0898614,13.4351292,8.9019999,205,dark
NOS,ID08,113.7716806,284.0860501,-284.0860501,13.431942,8.9058112,206,dark
NOS,ID08,113.6855782,283.925494,-283.925494,13.3458396,9.0663673,207,dark
NOS,ID08,113.7607022,283.7936718,-283.7936718,13.4209636,9.1981895,208,dark
NOS,ID08,113.6950876,283.4170067,-283.4170067,13.355349,9.5748546,209,dark
NOS,ID08,113.4767255,283.3738563,-283.3738563,13.1369869,9.618005,210,dark
NOS,ID08,113.6205144,283.1737506,-283.1737506,13.2807758,9.8181107,211,dark
NOS,ID08,113.4250097,283.1346426,-283.1346426,13.0852711,9.8572187,212,dark
NOS,ID08,113.3805857,282.9629013,-282.9629013,13.0408471,10.02896,213,dark
NOS,ID08,113.1119347,282.9856405,-282.9856405,12.7721961,10.0062208,214,dark
NOS,ID08,113.1471192,282.7751084,-282.7751084,12.8073806,10.2167529,215,dark
NOS,ID08,113.0491285,282.675403,-282.675403,12.7093899,10.3164583,216,dark
NOS,ID08,112.869117,282.534384,-282.534384,12.5293784,10.4574773,217,dark
NOS,ID08,112.6451223,282.4269186,-282.4269186,12.3053837,10.5649427,218,dark
NOS,ID08,112.3734524,282.2123097,-282.2123097,12.0337138,10.7795516,219,dark
NOS,ID08,112.3637368,282.1978526,-282.1978526,12.0239982,10.7940087,220,dark
NOS,ID08,112.2528569,281.9957033,-281.9957033,11.9131183,10.996158,221,dark
NOS,ID08,112.0973414,281.9240655,-281.9240655,11.7576028,11.0677958,222,dark
NOS,ID08,111.967418,281.841484,-281.841484,11.6276794,11.1503773,223,dark
