genotype,Track ID,X,Y,V,nor_X,nor_V,Frame,condition
NOS,ID01,89.38734183,89.88414183,-89.88414183,2.48047075,19.11751547,225,dark
NOS,ID01,89.20066972,89.84035002,-89.84035002,2.29379864,19.16130728,226,dark
NOS,ID01,89.03737338,89.70053494,-89.70053494,2.1305023,19.30112236,227,dark
NOS,ID01,88.8854989,89.81092628,-89.81092628,1.97862782,19.19073102,228,dark
NOS,ID01,88.56975645,89.71755579,-89.71755579,1.66288537,19.28410151,229,dark
NOS,ID01,88.22623413,89.57820216,-89.57820216,1.31936305,19.42345514,230,dark
NOS,ID01,88.09788748,89.60074668,-89.60074668,1.1910164,19.40091062,231,dark
NOS,ID01,87.76553058,89.63519678,-89.63519678,0.8586595,19.36646052,232,dark
NOS,ID01,87.37788821,89.51308976,-89.51308976,0.47101713,19.48856754,233,dark
NOS,ID01,87.13997839,89.49172834,-89.49172834,0.23310731,19.50992896,234,dark
NOS,ID01,86.92483295,89.37262372,-89.37262372,0.01796187,19.62903358,235,dark
NOS,ID01,86.47303122,89.45286151,-89.45286151,-0.43383986,19.54879579,236,dark
NOS,ID01,86.16981925,89.43351931,-89.43351931,-0.73705183,19.56813799,237,dark
NOS,ID01,85.93693348,89.37179342,-89.37179342,-0.9699376,19.62986388,238,dark
NOS,ID01,85.65751093,89.44911097,-89.44911097,-1.24936015,19.55254633,239,dark
NOS,ID01,85.30980692,89.4284827,-89.4284827,-1.59706416,19.5731746,240,dark
NOS,ID01,85.12465356,89.47779378,-89.47779378,-1.78221752,19.52386352,241,dark
NOS,ID01,84.92559049,89.45688771,-89.45688771,-1.98128059,19.54476959,242,dark
NOS,ID01,84.7658552,89.50580963,-89.50580963,-2.14101588,19.49584767,243,dark
NOS,ID01,84.45330642,89.54365336,-89.54365336,-2.45356466,19.45800394,244,dark
NOS,ID01,84.38724621,89.61583771,-89.61583771,-2.51962487,19.38581959,245,dark
NOS,ID01,84.2135776,89.73110953,-89.73110953,-2.69329348,19.27054777,246,dark
NOS,ID01,84.23334519,89.76785633,-89.76785633,-2.67352589,19.23380097,247,dark
NOS,ID01,84.092112,89.8329146,-89.8329146,-2.81475908,19.1687427,248,dark
NOS,ID01,84.05988312,89.91521028,-89.91521028,-2.84698796,19.08644702,249,dark
NOS,ID01,84.06872849,90.00685261,-90.00685261,-2.83814259,18.99480469,250,dark
NOS,ID01,84.06872295,89.99433387,-89.99433387,-2.83814813,19.00732343,251,dark
NOS,ID01,84.06091051,90.05312761,-90.05312761,-2.84596057,18.94852969,252,dark
NOS,ID01,84.10122468,90.10114786,-90.10114786,-2.8056464,18.90050944,253,dark
NOS,ID01,84.11845539,90.16825546,-90.16825546,-2.78841569,18.83340184,254,dark
NOS,ID01,84.18464486,90.22411357,-90.22411357,-2.72222622,18.77754373,255,dark
NOS,ID01,84.24611883,90.27054028,-90.27054028,-2.66075225,18.73111702,256,dark
NOS,ID01,84.48455867,90.23910561,-90.23910561,-2.42231241,18.76255169,257,dark
NOS,ID01,84.73003696,90.10454015,-90.10454015,-2.17683412,18.89711715,258,dark
NOS,ID01,84.89695624,90.09496427,-90.09496427,-2.00991484,18.90669303,259,dark
NOS,ID01,85.00347198,90.11794732,-90.11794732,-1.9033991,18.88370998,260,dark
NOS,ID01,85.13075149,89.99865977,-89.99865977,-1.77611959,19.00299753,261,dark
NOS,ID01,85.19600227,89.95157253,-89.95157253,-1.71086881,19.05008477,262,dark
NOS,ID01,85.47918997,89.86547352,-89.86547352,-1.42768111,19.13618378,263,dark
NOS,ID01,85.74620184,89.71566598,-89.71566598,-1.16066924,19.28599132,264,dark
NOS,ID01,85.92106164,89.55503152,-89.55503152,-0.98580944,19.44662578,265,dark
NOS,ID01,86.06855708,89.28135094,-89.28135094,-0.838314,19.72030636,266,dark
NOS,ID01,86.1803091,89.1459347,-89.1459347,-0.72656198,19.8557226,267,dark
NOS,ID01,86.18801606,89.02900188,-89.02900188,-0.71885502,19.97265542,268,dark
NOS,ID01,86.26252186,88.91203904,-88.91203904,-0.64434922,20.08961826,269,dark
NOS,ID01,86.30119169,88.75437818,-88.75437818,-0.60567939,20.24727912,270,dark
